2021-12-02 02:07:59.334009 (1.0, 500000.0, 6, 10.0, [[0.1, 0.6], [0.5, 1.0]], 0.5, 0.0, 3) [0.19530571991860052 2.132433777918914] 1
2021-12-02 02:08:03.719326 (1.0, 500000.0, 6, 10.0, [[0.1, 0.6], [0.5, 1.0]], 0.7, 0.0, 3) [0.14120851012784053 3.4345066738270331] 1
2021-12-02 02:17:41.506042 (1.0, 500000.0, 7, 10.0, [[0.1, 0.6], [0.5, 1.0]], 0.2, 0.0, 3) [0.2735007552153699 1.0620575081773069] 1
2021-12-02 02:32:14.675110 (1.0, 500000.0, 8, 10.0, [[0.1, 0.6], [0.5, 1.0]], 0.3, 0.0, 3) [0.18146924673385992 2.5064940504319932] 1
2021-12-02 02:33:00.216076 (1.0, 500000.0, 8, 10.0, [[0.1, 0.6], [0.5, 1.0]], 0.4, 0.0, 3) [0.14596951275116016 3.4050827834089268] 1
2021-12-02 02:33:29.938970 (1.0, 500000.0, 8, 10.0, [[0.1, 0.6], [0.5, 1.0]], 0.8, 0.0, 3) [0.06875394996268322 7.5478034456279763] 1
2021-12-02 02:36:52.897356 (1.0, 500000.0, 6, 10.0, [[0.1, 0.6], [0.5, 1.0]], 0.2, 0.0, 3) [0.3340208469508855 0.58494045742773504] 1
2021-12-02 02:37:00.201008 (1.0, 500000.0, 6, 10.0, [[0.1, 0.6], [0.5, 1.0]], 0.3, 0.0, 3) [0.27574600813034034 1.0114030999589005] 1
2021-12-02 02:52:53.724706 (1.0, 500000.0, 9, 10.0, [[0.1, 0.6], [0.5, 1.0]], 0.6, 0.0, 3) [0.07695162418651914 6.900241743312912] 1
2021-12-02 02:53:51.435783 (1.0, 500000.0, 9, 10.0, [[0.1, 0.6], [0.5, 1.0]], 0.5, 0.0, 3) [0.0938082360209899 5.7150403715281506] 1
2021-12-02 02:53:53.934651 (1.0, 500000.0, 9, 10.0, [[0.1, 0.6], [0.5, 1.0]], 0.4, 0.0, 3) [0.11614357967157464 4.5395688282322277] 1
2021-12-02 03:02:09.788799 (1.0, 500000.0, 7, 10.0, [[0.1, 0.6], [0.5, 1.0]], 0.5, 0.0, 3) [0.1508817386656034 3.2062758633420327] 1
2021-12-02 03:03:14.559667 (1.0, 500000.0, 7, 10.0, [[0.1, 0.6], [0.5, 1.0]], 0.3, 0.0, 3) [0.22159027155072383 1.7088868569329214] 1
2021-12-02 03:07:38.166413 (1.0, 500000.0, 6, 10.0, [[0.1, 0.6], [0.5, 1.0]], 0.6, 0.0, 3) [0.165432280504007 2.7602969791487597] 1
2021-12-02 03:07:40.182493 (1.0, 500000.0, 7, 10.0, [[0.1, 0.6], [0.5, 1.0]], 0.6, 0.0, 3) [0.12519622707656822 4.0268291050285123] 1
2021-12-02 03:08:06.997367 (1.0, 500000.0, 7, 10.0, [[0.1, 0.6], [0.5, 1.0]], 0.7, 0.0, 3) [0.10471156003284766 4.8819767963009495] 1
