2021-12-02 12:23:18.384799 (1.0, 500000.0, 6, 10.0, [[0.1, 0.6], [0.5, 1.0]], 0.1, 0.0, 3) [0.39860066407015665 0.31456157153283798] 1
2021-12-02 12:23:46.292088 (1.0, 500000.0, 6, 10.0, [[0.1, 0.6], [0.5, 1.0]], 0.4, 0.0, 3) [0.2338663727216456 1.512482302428017] 1
2021-12-02 12:33:43.190688 (1.0, 500000.0, 7, 10.0, [[0.1, 0.6], [0.5, 1.0]], 0.3, 0.0, 3) [0.2216553900024943 1.7028274972532647] 1
2021-12-02 12:34:11.827852 (1.0, 500000.0, 7, 10.0, [[0.1, 0.6], [0.5, 1.0]], 0.6, 0.0, 3) [0.12259896606167968 4.061265460557987] 1
2021-12-02 12:34:21.051960 (1.0, 500000.0, 7, 10.0, [[0.1, 0.6], [0.5, 1.0]], 0.7, 0.0, 3) [0.10656158725362187 4.857060186025449] 1
2021-12-02 12:34:31.240180 (1.0, 500000.0, 7, 10.0, [[0.1, 0.6], [0.5, 1.0]], 0.8, 0.0, 3) [0.08976508666899853 5.7129023162973436] 1
2021-12-02 12:34:38.078013 (1.0, 500000.0, 7, 10.0, [[0.1, 0.6], [0.5, 1.0]], 0.9, 0.0, 3) [0.07835525773382743 6.5922817120258843] 1
2021-12-02 12:48:31.282519 (1.0, 500000.0, 8, 10.0, [[0.1, 0.6], [0.5, 1.0]], 0.0, 0.0, 3) [0.353591968349334 0.49809094555315669] 1
2021-12-02 12:50:26.195326 (1.0, 500000.0, 6, 10.0, [[0.1, 0.6], [0.5, 1.0]], 0.0, 0.0, 3) [0.47965140093088077 0.14170260678375549] 1
2021-12-02 12:51:05.924699 (1.0, 500000.0, 6, 10.0, [[0.1, 0.6], [0.5, 1.0]], 0.6, 0.0, 3) [0.16501644986978842 2.7835147187201077] 1
2021-12-02 12:52:08.739570 (1.0, 500000.0, 6, 10.0, [[0.1, 0.6], [0.5, 1.0]], 0.7, 0.0, 3) [0.1409383841137931 3.425798971023442] 1
2021-12-02 12:52:09.423730 (1.0, 500000.0, 6, 10.0, [[0.1, 0.6], [0.5, 1.0]], 0.9, 0.0, 3) [0.10639984635294779 4.7715915798908934] 1
2021-12-02 12:53:17.874057 (1.0, 500000.0, 6, 10.0, [[0.1, 0.6], [0.5, 1.0]], 0.2, 0.0, 3) [0.3309489585206909 0.60288676967351806] 1
2021-12-02 12:53:34.110723 (1.0, 500000.0, 6, 10.0, [[0.1, 0.6], [0.5, 1.0]], 0.5, 0.0, 3) [0.19321341464669878 2.1510250156833695] 1
2021-12-02 13:08:46.888592 (1.0, 500000.0, 9, 10.0, [[0.1, 0.6], [0.5, 1.0]], 0.3, 0.0, 3) [0.14881780292570082 3.3932270790402943] 1
2021-12-02 13:10:42.589642 (1.0, 500000.0, 9, 10.0, [[0.1, 0.6], [0.5, 1.0]], 0.9, 0.0, 3) [0.047073858323867415 10.970747412829361] 1
