2021-12-04 18:10:07.885198 (1.0, 500000.0, 8, 10.0, [[0.0, 0.3], [1.0, 1.0]], 0.0, 0.0, 3) [1.0953351967578129 0.00029632665507925367] 1
2021-12-04 18:10:29.553033 (1.0, 500000.0, 8, 10.0, [[0.0, 0.3], [1.0, 1.0]], 0.1, 0.0, 3) [0.7175629934416611 0.013129410375667146] 1
2021-12-04 18:10:54.947940 (1.0, 500000.0, 8, 10.0, [[0.0, 0.3], [1.0, 1.0]], 0.3, 0.0, 3) [0.25290768015500475 1.2553396777674855] 1
2021-12-04 18:11:30.015019 (1.0, 500000.0, 8, 10.0, [[0.0, 0.3], [1.0, 1.0]], 0.6, 0.0, 3) [0.0627403664880914 7.7071677408466277] 1
2021-12-04 18:11:45.169420 (1.0, 500000.0, 8, 10.0, [[0.0, 0.3], [1.0, 1.0]], 0.8, 0.0, 3) [0.03756062498704416 12.750513568489188] 1
2021-12-04 18:29:57.883214 (1.0, 500000.0, 9, 10.0, [[0.0, 0.3], [1.0, 1.0]], 0.2, 0.0, 3) [0.38512976079564404 0.36117047451510753] 1
2021-12-04 18:31:11.505521 (1.0, 500000.0, 9, 10.0, [[0.0, 0.3], [1.0, 1.0]], 0.4, 0.0, 3) [0.11906074519395347 4.2145314502174145] 1
2021-12-04 18:31:22.917346 (1.0, 500000.0, 9, 10.0, [[0.0, 0.3], [1.0, 1.0]], 0.5, 0.0, 3) [0.07195316145102554 6.8986523712257748] 1
2021-12-04 18:31:41.658496 (1.0, 500000.0, 9, 10.0, [[0.0, 0.3], [1.0, 1.0]], 0.7, 0.0, 3) [0.03673592211012534 12.865547147153467] 1
2021-12-04 18:32:02.913982 (1.0, 500000.0, 9, 10.0, [[0.0, 0.3], [1.0, 1.0]], 1.0, 0.0, 3) [0.019553331232011584 23.371322416586811] 1
2021-12-04 18:56:20.387324 (1.0, 500000.0, 10, 10.0, [[0.0, 0.3], [1.0, 1.0]], 0.0, 0.0, 3) [0.9793585931957646 0.00098050887118020084] 1
2021-12-04 18:58:15.804684 (1.0, 500000.0, 10, 10.0, [[0.0, 0.3], [1.0, 1.0]], 0.6, 0.0, 3) [0.04007850084767184 12.113168024348074] 1
2021-12-04 18:58:29.407691 (1.0, 500000.0, 10, 10.0, [[0.0, 0.3], [1.0, 1.0]], 0.5, 0.0, 3) [0.05698323293478675 8.568457997185984] 1
2021-12-04 19:36:32.317570 (1.0, 500000.0, 11, 10.0, [[0.0, 0.3], [1.0, 1.0]], 0.7, 0.0, 3) [0.024638755432545113 19.258366067423648] 1
2021-12-04 20:43:40.676795 (1.0, 500000.0, 10, 10.0, [[0.0, 0.3], [1.0, 1.0]], 0.3, 0.0, 3) [0.1779288199684249 2.5119756406423841] 1
2021-12-04 20:44:35.707349 (1.0, 500000.0, 10, 10.0, [[0.0, 0.3], [1.0, 1.0]], 1.0, 0.0, 3) [0.01608289167435952 28.870362724900524] 1
2021-12-04 20:45:05.285119 (1.0, 500000.0, 10, 10.0, [[0.0, 0.3], [1.0, 1.0]], 0.8, 0.0, 3) [0.022716118175591996 19.935525532526921] 1
2021-12-04 20:45:51.599252 (1.0, 500000.0, 10, 10.0, [[0.0, 0.3], [1.0, 1.0]], 0.9, 0.0, 3) [0.019026382829743393 24.222401982592196] 1
2021-12-04 22:01:26.863202 (1.0, 500000.0, 11, 10.0, [[0.0, 0.3], [1.0, 1.0]], 0.0, 0.0, 3) [0.9311138501508893 0.0016018167533114901] 1
2021-12-04 22:03:00.520228 (1.0, 500000.0, 11, 10.0, [[0.0, 0.3], [1.0, 1.0]], 0.5, 0.0, 3) [0.047705070046276304 10.37003813527379] 1
2021-12-04 22:14:58.042199 (1.0, 500000.0, 11, 10.0, [[0.0, 0.3], [1.0, 1.0]], 0.3, 0.0, 3) [0.14928255795672088 3.2400118958548796] 1
2021-12-04 22:15:26.049610 (1.0, 500000.0, 11, 10.0, [[0.0, 0.3], [1.0, 1.0]], 1.0, 0.0, 3) [0.013154335565113607 34.912467055176123] 1
2021-12-04 22:15:30.930689 (1.0, 500000.0, 11, 10.0, [[0.0, 0.3], [1.0, 1.0]], 0.8, 0.0, 3) [0.01935827548551133 24.127841167222645] 1
2021-12-04 22:15:46.983677 (1.0, 500000.0, 11, 10.0, [[0.0, 0.3], [1.0, 1.0]], 0.4, 0.0, 3) [0.07781319348306494 6.5268918605934196] 1
2021-12-04 22:16:11.935082 (1.0, 500000.0, 11, 10.0, [[0.0, 0.3], [1.0, 1.0]], 0.2, 0.0, 3) [0.3001423653763408 0.82498144575265608] 1
