2021-12-05 17:10:49.795813 (1.0, 500000.0, 6, 10.0, [[0.0, 0.3], [1.0, 1.0]], 0.0, 0.0, 3) [1.2597752246471843 5.7034924451818457e-05] 1
2021-12-05 17:11:07.145780 (1.0, 500000.0, 6, 10.0, [[0.0, 0.3], [1.0, 1.0]], 0.2, 0.0, 3) [0.5858844329082735 0.047850011239150968] 1
2021-12-05 17:11:11.904865 (1.0, 500000.0, 6, 10.0, [[0.0, 0.3], [1.0, 1.0]], 0.15, 0.0, 3) [0.7221529376562145 0.01231577198154812] 1
2021-12-05 17:11:18.605536 (1.0, 500000.0, 6, 10.0, [[0.0, 0.3], [1.0, 1.0]], 0.05, 0.0, 3) [1.0559346082517842 0.00043098100875378338] 1
2021-12-05 17:11:28.252749 (1.0, 500000.0, 6, 10.0, [[0.0, 0.3], [1.0, 1.0]], 0.1, 0.0, 3) [0.8801800816374779 0.0025129173337684889] 1
2021-12-05 17:20:28.882342 (1.0, 500000.0, 7, 10.0, [[0.0, 0.3], [1.0, 1.0]], 0.1, 0.0, 3) [0.7910879620069644 0.0063142955628808185] 1
2021-12-05 17:21:00.201511 (1.0, 500000.0, 7, 10.0, [[0.0, 0.3], [1.0, 1.0]], 0.0, 0.0, 3) [1.1695925167166759 0.00014108352791804467] 1
2021-12-05 17:21:09.256108 (1.0, 500000.0, 7, 10.0, [[0.0, 0.3], [1.0, 1.0]], 0.15, 0.0, 3) [0.6365195686945014 0.028776753067333977] 1
2021-12-05 17:21:10.133275 (1.0, 500000.0, 7, 10.0, [[0.0, 0.3], [1.0, 1.0]], 0.05, 0.0, 3) [0.9676709917962856 0.001058596992865466] 1
2021-12-05 17:21:18.935561 (1.0, 500000.0, 7, 10.0, [[0.0, 0.3], [1.0, 1.0]], 0.2, 0.0, 3) [0.5053664997892279 0.1084853810534762] 1
2021-12-05 17:35:04.288025 (1.0, 500000.0, 8, 10.0, [[0.0, 0.3], [1.0, 1.0]], 0.1, 0.0, 3) [0.7189387920524498 0.01293926909935458] 1
