2021-12-11 17:36:51.725417 (1.0, 500000.0, 6, 10.0, [[0.1, 0.6], [0.5, 1.0]], 0.3, 0.0, 3) [0.2741560196426185 1.0264864002045899] 1
2021-12-11 17:37:25.918356 (1.0, 500000.0, 6, 10.0, [[0.1, 0.6], [0.5, 1.0]], 0.7, 0.0, 3) [0.14151374186241877 3.4170606068169911] 1
2021-12-11 17:41:53.309851 (1.0, 500000.0, 7, 10.0, [[0.1, 0.6], [0.5, 1.0]], 0.0, 0.0, 3) [0.41105957547400424 0.28243160604557432] 1
2021-12-11 17:42:58.202827 (1.0, 500000.0, 7, 10.0, [[0.1, 0.6], [0.5, 1.0]], 0.6, 0.0, 3) [0.12498917670666942 4.0453074181948967] 1
2021-12-11 17:42:58.549341 (1.0, 500000.0, 7, 10.0, [[0.1, 0.6], [0.5, 1.0]], 0.7, 0.0, 3) [0.10512480282613854 4.8788366404418797] 1
2021-12-11 17:54:41.820562 (1.0, 500000.0, 8, 10.0, [[0.1, 0.6], [0.5, 1.0]], 0.0, 0.0, 3) [0.355264919305408 0.49489663236792636] 1
2021-12-11 17:55:14.978270 (1.0, 500000.0, 8, 10.0, [[0.1, 0.6], [0.5, 1.0]], 0.3, 0.0, 3) [0.18126615344700123 2.4918014852210653] 1
2021-12-11 17:55:32.796488 (1.0, 500000.0, 6, 10.0, [[0.1, 0.6], [0.5, 1.0]], 0.0, 0.0, 3) [0.47796059915938566 0.1418873046975295] 1
2021-12-11 17:56:08.086130 (1.0, 500000.0, 6, 10.0, [[0.1, 0.6], [0.5, 1.0]], 0.5, 0.0, 3) [0.19421681082425687 2.1368285038484074] 1
2021-12-11 17:56:12.552758 (1.0, 500000.0, 8, 10.0, [[0.1, 0.6], [0.5, 1.0]], 0.8, 0.0, 3) [0.06878762141760159 7.5355076002055359] 1
2021-12-11 17:56:24.614508 (1.0, 500000.0, 8, 10.0, [[0.1, 0.6], [0.5, 1.0]], 0.7, 0.0, 3) [0.08195242744944861 6.4606764796266578] 1
2021-12-11 17:58:59.604700 (1.0, 500000.0, 7, 10.0, [[0.1, 0.6], [0.5, 1.0]], 1.0, 0.0, 3) [0.06878711595275276 7.5505557400784893] 1
2021-12-11 18:10:17.497787 (1.0, 500000.0, 9, 10.0, [[0.1, 0.6], [0.5, 1.0]], 0.2, 0.0, 3) [0.19049480406652955 2.3534609802517124] 1
2021-12-11 18:10:30.842561 (1.0, 500000.0, 9, 10.0, [[0.1, 0.6], [0.5, 1.0]], 0.1, 0.0, 3) [0.24402885690257947 1.4473047809033808] 1
2021-12-11 18:11:15.820899 (1.0, 500000.0, 9, 10.0, [[0.1, 0.6], [0.5, 1.0]], 0.3, 0.0, 3) [0.14809604717766942 3.4048487933062925] 1
2021-12-11 18:11:18.122191 (1.0, 500000.0, 9, 10.0, [[0.1, 0.6], [0.5, 1.0]], 0.4, 0.0, 3) [0.11686896385752793 4.5040130160272724] 1
2021-12-11 18:13:53.645617 (1.0, 500000.0, 7, 10.0, [[0.1, 0.6], [0.5, 1.0]], 0.2, 0.0, 3) [0.2726734309227837 1.0691303712241975] 1
2021-12-11 18:14:18.754250 (1.0, 500000.0, 7, 10.0, [[0.1, 0.6], [0.5, 1.0]], 0.8, 0.0, 3) [0.09048626717220286 5.7224591117314567] 1
2021-12-11 18:17:58.039950 (1.0, 500000.0, 6, 10.0, [[0.1, 0.6], [0.5, 1.0]], 0.4, 0.0, 3) [0.23021719727991097 1.5445026056732756] 1
2021-12-11 18:18:12.292781 (1.0, 500000.0, 6, 10.0, [[0.1, 0.6], [0.5, 1.0]], 0.6, 0.0, 3) [0.16451156858958588 2.778799737352676] 1
2021-12-11 18:18:18.249388 (1.0, 500000.0, 6, 10.0, [[0.1, 0.6], [0.5, 1.0]], 0.8, 0.0, 3) [0.12144018721989522 4.0738705190009377] 1
2021-12-11 18:19:43.330205 (1.0, 500000.0, 6, 10.0, [[0.1, 0.6], [0.5, 1.0]], 0.1, 0.0, 3) [0.39871682593985774 0.3104564178299713] 1
2021-12-11 18:19:48.060089 (1.0, 500000.0, 6, 10.0, [[0.1, 0.6], [0.5, 1.0]], 0.2, 0.0, 3) [0.3323016218651558 0.59516661808537386] 1
2021-12-11 18:20:23.759403 (1.0, 500000.0, 6, 10.0, [[0.1, 0.6], [0.5, 1.0]], 0.9, 0.0, 3) [0.10688472135723927 4.7632804304866809] 1
2021-12-11 18:31:38.185361 (1.0, 500000.0, 10, 10.0, [[0.1, 0.6], [0.5, 1.0]], 0.3, 0.0, 3) [0.12362756661257653 4.35135095987558] 1
2021-12-11 18:31:40.174613 (1.0, 500000.0, 10, 10.0, [[0.1, 0.6], [0.5, 1.0]], 0.2, 0.0, 3) [0.16056181237536524 3.1086580389196916] 1
2021-12-11 18:32:16.408304 (1.0, 500000.0, 10, 10.0, [[0.1, 0.6], [0.5, 1.0]], 0.4, 0.0, 3) [0.09596959123759205 5.6705973314650882] 1
2021-12-11 18:33:31.429262 (1.0, 500000.0, 10, 10.0, [[0.1, 0.6], [0.5, 1.0]], 0.9, 0.0, 3) [0.03675516479648614 13.573736468732289] 1
