2022-02-01 10:28:23.822016 (1.0, 500000.0, 6, 10.0, [[0.63, 0.03], [0.63, 0.03]], 0.99, 0.0, 3) [0.31496665358417975 0.097523007861995401] 1
2022-02-01 10:28:31.558311 (1.0, 500000.0, 6, 10.0, [[0.55, 0.03], [0.55, 0.03]], 0.99, 0.0, 3) [0.42064855790426964 0.027524947863914209] 1
2022-02-01 10:28:32.017124 (1.0, 500000.0, 6, 10.0, [[0.61, 0.03], [0.61, 0.03]], 0.99, 0.0, 3) [0.33812480600305694 0.074153826344778587] 1
2022-02-01 10:28:32.220564 (1.0, 500000.0, 6, 10.0, [[0.62, 0.03], [0.62, 0.03]], 0.99, 0.0, 3) [0.32537654541692396 0.086176278801656847] 1
2022-02-01 10:28:33.153249 (1.0, 500000.0, 6, 10.0, [[0.64, 0.03], [0.64, 0.03]], 0.99, 0.0, 3) [0.3036335626548894 0.11150699749895306] 1
2022-02-01 10:28:37.673732 (1.0, 500000.0, 6, 10.0, [[0.59, 0.03], [0.59, 0.03]], 0.99, 0.0, 3) [0.3615651612936796 0.05577072771347779] 1
2022-02-01 10:28:50.295287 (1.0, 500000.0, 6, 10.0, [[0.56, 0.03], [0.56, 0.03]], 0.99, 0.0, 3) [0.40674491447128674 0.032521863487571447] 1
2022-02-01 10:28:51.249034 (1.0, 500000.0, 6, 10.0, [[0.58, 0.03], [0.58, 0.03]], 0.99, 0.0, 3) [0.3773477546117787 0.046292922359707459] 1
2022-02-01 10:28:51.435374 (1.0, 500000.0, 6, 10.0, [[0.57, 0.03], [0.57, 0.03]], 0.99, 0.0, 3) [0.389168818224748 0.040107245652204859] 1
2022-02-01 10:29:00.829404 (1.0, 500000.0, 6, 10.0, [[0.65, 0.03], [0.65, 0.03]], 0.99, 0.0, 3) [0.29448350098085285 0.12461610884828719] 1
2022-02-01 10:32:27.552831 (1.0, 500000.0, 6, 10.0, [[0.6, 0.03], [0.6, 0.03]], 0.99, 0.0, 3) [0.34995318148154025 0.064204583718732985] 1
2022-02-01 10:41:03.304713 (1.0, 500000.0, 7, 10.0, [[0.62, 0.03], [0.62, 0.03]], 0.99, 0.0, 3) [0.2776346135609891 0.087273557090797899] 1
2022-02-01 10:41:24.565784 (1.0, 500000.0, 7, 10.0, [[0.58, 0.03], [0.58, 0.03]], 0.99, 0.0, 3) [0.32589895394313795 0.044497438076063212] 1
2022-02-01 10:41:28.869696 (1.0, 500000.0, 7, 10.0, [[0.63, 0.03], [0.63, 0.03]], 0.99, 0.0, 3) [0.266496398917999 0.10195338968146801] 1
2022-02-01 10:41:40.554151 (1.0, 500000.0, 7, 10.0, [[0.61, 0.03], [0.61, 0.03]], 0.99, 0.0, 3) [0.28878786361439585 0.074798993707288736] 1
2022-02-01 10:41:47.592646 (1.0, 500000.0, 7, 10.0, [[0.55, 0.03], [0.55, 0.03]], 0.99, 0.0, 3) [0.36898353173843107 0.024322029384715834] 1
2022-02-01 10:41:54.551170 (1.0, 500000.0, 7, 10.0, [[0.6, 0.03], [0.6, 0.03]], 0.99, 0.0, 3) [0.3033968449104237 0.061291929770152853] 1
