2022-01-28 17:27:58.323296 (1.0, 500000.0, 6, 10.0, [[0.33, 0.03], [0.33, 0.03]], 0.99, 0.0, 3) [0.5285974227267561 0.086378572306883103] 1
2022-01-28 17:28:00.318988 (1.0, 500000.0, 6, 10.0, [[0.29, 0.03], [0.29, 0.03]], 0.99, 0.0, 3) [0.635170790780041 0.029772538782509062] 1
2022-01-28 17:40:18.385543 (1.0, 500000.0, 7, 10.0, [[0.28, 0.03], [0.28, 0.03]], 0.99, 0.0, 3) [0.5931059152650734 0.04621545127667856] 1
2022-01-28 17:55:53.320728 (1.0, 500000.0, 8, 10.0, [[0.29, 0.03], [0.29, 0.03]], 0.99, 0.0, 3) [0.5041948495442692 0.11411303825830264] 1
2022-01-28 18:00:11.474464 (1.0, 500000.0, 6, 10.0, [[0.27, 0.03], [0.27, 0.03]], 0.99, 0.0, 3) [0.6959268924684777 0.016337282078378361] 1
2022-01-28 18:00:23.053384 (1.0, 500000.0, 6, 10.0, [[0.25, 0.03], [0.25, 0.03]], 0.99, 0.0, 3) [0.762711642902451 0.0082807642218411387] 1
2022-01-28 18:17:00.925306 (1.0, 500000.0, 9, 10.0, [[0.3, 0.03], [0.3, 0.03]], 0.99, 0.0, 3) [0.4272027896112929 0.24755511992128781] 1
2022-01-28 18:17:22.709460 (1.0, 500000.0, 9, 10.0, [[0.26, 0.03], [0.26, 0.03]], 0.99, 0.0, 3) [0.5395657957050648 0.081125941703742446] 1
2022-01-28 18:23:42.497896 (1.0, 500000.0, 7, 10.0, [[0.25, 0.03], [0.25, 0.03]], 0.99, 0.0, 3) [0.6860682266412296 0.018039936266071699] 1
2022-01-28 18:31:51.568569 (1.0, 500000.0, 6, 10.0, [[0.34, 0.03], [0.34, 0.03]], 0.99, 0.0, 3) [0.5078251194741861 0.10772368086575249] 1
2022-01-28 18:32:15.817193 (1.0, 500000.0, 6, 10.0, [[0.35, 0.03], [0.35, 0.03]], 0.99, 0.0, 3) [0.48383018766461877 0.1361065879238543] 1
2022-01-28 18:33:37.213965 (1.0, 500000.0, 6, 10.0, [[0.26, 0.03], [0.26, 0.03]], 0.99, 0.0, 3) [0.7276427788853266 0.011797868725025081] 1
2022-01-28 18:34:12.175410 (1.0, 500000.0, 7, 10.0, [[0.31, 0.03], [0.31, 0.03]], 0.99, 0.0, 3) [0.507707153290512 0.10932309544012013] 1
