2022-01-14 20:13:38.017545 (1.0, 500000.0, 6, 10.0, [[0.3, 0.03], [0.3, 0.03]], 0.99, 0.0, 3) [0.6026273554675978 0.041156718380745805] 1
2022-01-14 20:13:50.135932 (1.0, 500000.0, 6, 10.0, [[0.29, 0.03], [0.29, 0.03]], 0.99, 0.0, 3) [0.6356581694294932 0.029885758729811373] 1
2022-01-14 20:13:55.113532 (1.0, 500000.0, 6, 10.0, [[0.35, 0.03], [0.35, 0.03]], 0.99, 0.0, 3) [0.48618094953171576 0.13341138225808705] 1
2022-01-14 20:13:57.913389 (1.0, 500000.0, 6, 10.0, [[0.27, 0.03], [0.27, 0.03]], 0.99, 0.0, 3) [0.6951597309687356 0.016319291720582673] 1
2022-01-14 20:13:58.081453 (1.0, 500000.0, 6, 10.0, [[0.25, 0.03], [0.25, 0.03]], 0.99, 0.0, 3) [0.7596801149937792 0.0084799550540119173] 1
2022-01-14 20:13:59.832005 (1.0, 500000.0, 6, 10.0, [[0.26, 0.03], [0.26, 0.03]], 0.99, 0.0, 3) [0.7293635170376906 0.011595892480532713] 1
2022-01-14 20:14:03.263115 (1.0, 500000.0, 6, 10.0, [[0.28, 0.03], [0.28, 0.03]], 0.99, 0.0, 3) [0.6657418119184039 0.022060957398182389] 1
2022-01-14 20:14:03.984769 (1.0, 500000.0, 6, 10.0, [[0.33, 0.03], [0.33, 0.03]], 0.99, 0.0, 3) [0.5305657509476737 0.085156341033384098] 1
2022-01-14 20:14:06.698316 (1.0, 500000.0, 6, 10.0, [[0.32, 0.03], [0.32, 0.03]], 0.99, 0.0, 3) [0.5503325944345528 0.069000141870359966] 1
2022-01-14 20:14:07.009537 (1.0, 500000.0, 6, 10.0, [[0.31, 0.03], [0.31, 0.03]], 0.99, 0.0, 3) [0.5790400148913171 0.052426335497891621] 1
2022-01-14 20:14:15.163274 (1.0, 500000.0, 6, 10.0, [[0.34, 0.03], [0.34, 0.03]], 0.99, 0.0, 3) [0.506427128716759 0.10779708243777113] 1
2022-01-14 20:19:10.691865 (1.0, 500000.0, 7, 10.0, [[0.27, 0.03], [0.27, 0.03]], 0.99, 0.0, 3) [0.6192755552493757 0.034952593853794386] 1
2022-01-14 20:19:27.805306 (1.0, 500000.0, 7, 10.0, [[0.3, 0.03], [0.3, 0.03]], 0.99, 0.0, 3) [0.534588721543017 0.082683015757820361] 1
2022-01-14 20:19:29.756421 (1.0, 500000.0, 7, 10.0, [[0.34, 0.03], [0.34, 0.03]], 0.99, 0.0, 3) [0.43900104184758604 0.21510112377735544] 1
2022-01-14 20:19:40.514146 (1.0, 500000.0, 7, 10.0, [[0.33, 0.03], [0.33, 0.03]], 0.99, 0.0, 3) [0.4603382570048407 0.17356168211598869] 1
2022-01-14 20:19:43.063804 (1.0, 500000.0, 7, 10.0, [[0.25, 0.03], [0.25, 0.03]], 0.99, 0.0, 3) [0.6890355251960315 0.017708719652272113] 1
2022-01-14 20:19:46.433665 (1.0, 500000.0, 7, 10.0, [[0.29, 0.03], [0.29, 0.03]], 0.99, 0.0, 3) [0.5620940214124943 0.063321644146754313] 1
2022-01-14 20:19:47.337373 (1.0, 500000.0, 7, 10.0, [[0.31, 0.03], [0.31, 0.03]], 0.99, 0.0, 3) [0.5089899545036725 0.10713014012320984] 1
2022-01-14 20:19:50.629537 (1.0, 500000.0, 7, 10.0, [[0.35, 0.03], [0.35, 0.03]], 0.99, 0.0, 3) [0.4183656116934685 0.26403094830660229] 1
2022-01-14 20:19:53.018004 (1.0, 500000.0, 7, 10.0, [[0.28, 0.03], [0.28, 0.03]], 0.99, 0.0, 3) [0.5890972455991804 0.047929835828695491] 1
2022-01-14 20:19:54.040843 (1.0, 500000.0, 7, 10.0, [[0.26, 0.03], [0.26, 0.03]], 0.99, 0.0, 3) [0.6507971406203842 0.025751506349470321] 1
2022-01-14 20:20:10.544109 (1.0, 500000.0, 7, 10.0, [[0.32, 0.03], [0.32, 0.03]], 0.99, 0.0, 3) [0.4861140867304347 0.13601192218292382] 1
2022-01-14 20:26:00.256893 (1.0, 500000.0, 8, 10.0, [[0.31, 0.03], [0.31, 0.03]], 0.99, 0.0, 3) [0.4506589367227776 0.19368018513693569] 1
2022-01-14 20:26:04.302792 (1.0, 500000.0, 8, 10.0, [[0.32, 0.03], [0.32, 0.03]], 0.99, 0.0, 3) [0.42807270433853845 0.24249896698695766] 1
2022-01-14 20:26:06.191794 (1.0, 500000.0, 8, 10.0, [[0.29, 0.03], [0.29, 0.03]], 0.99, 0.0, 3) [0.5040579879651095 0.11440483173105552] 1
2022-01-14 20:26:24.509096 (1.0, 500000.0, 8, 10.0, [[0.33, 0.03], [0.33, 0.03]], 0.99, 0.0, 3) [0.40232856658259786 0.31213887512553162] 1
2022-01-14 20:26:29.795434 (1.0, 500000.0, 8, 10.0, [[0.25, 0.03], [0.25, 0.03]], 0.99, 0.0, 3) [0.6241626513399211 0.033839737462527983] 1
2022-01-14 20:26:32.532556 (1.0, 500000.0, 8, 10.0, [[0.28, 0.03], [0.28, 0.03]], 0.99, 0.0, 3) [0.5306824919521977 0.087672857458236372] 1
2022-01-14 20:26:33.931954 (1.0, 500000.0, 8, 10.0, [[0.35, 0.03], [0.35, 0.03]], 0.99, 0.0, 3) [0.3639694544819792 0.45784974523706912] 1
2022-01-14 20:26:35.446582 (1.0, 500000.0, 8, 10.0, [[0.26, 0.03], [0.26, 0.03]], 0.99, 0.0, 3) [0.5889916833494938 0.048265656403193052] 1
2022-01-14 20:26:39.221865 (1.0, 500000.0, 8, 10.0, [[0.34, 0.03], [0.34, 0.03]], 0.99, 0.0, 3) [0.3836513347054252 0.3770634149691664] 1
2022-01-14 20:26:42.415718 (1.0, 500000.0, 8, 10.0, [[0.3, 0.03], [0.3, 0.03]], 0.99, 0.0, 3) [0.478090172707175 0.14837496021610294] 1
2022-01-14 20:26:48.807947 (1.0, 500000.0, 8, 10.0, [[0.27, 0.03], [0.27, 0.03]], 0.99, 0.0, 3) [0.5627754645321292 0.063714714658206981] 1
2022-01-14 20:36:21.027622 (1.0, 500000.0, 9, 10.0, [[0.31, 0.03], [0.31, 0.03]], 0.99, 0.0, 3) [0.40365051627006804 0.31380671216106182] 1
2022-01-14 20:36:29.379051 (1.0, 500000.0, 9, 10.0, [[0.32, 0.03], [0.32, 0.03]], 0.99, 0.0, 3) [0.38127741632326123 0.39159224248188007] 1
2022-01-14 20:36:45.216293 (1.0, 500000.0, 9, 10.0, [[0.34, 0.03], [0.34, 0.03]], 0.99, 0.0, 3) [0.33942620405423973 0.59267207554814527] 1
2022-01-14 20:36:54.797195 (1.0, 500000.0, 9, 10.0, [[0.29, 0.03], [0.29, 0.03]], 0.99, 0.0, 3) [0.45517528015308134 0.18879642129744301] 1
2022-01-14 20:37:07.349254 (1.0, 500000.0, 9, 10.0, [[0.35, 0.03], [0.35, 0.03]], 0.99, 0.0, 3) [0.3196534681105922 0.71526655315677146] 1
2022-01-14 20:37:11.752573 (1.0, 500000.0, 9, 10.0, [[0.28, 0.03], [0.28, 0.03]], 0.99, 0.0, 3) [0.4813333379168156 0.14508721401152042] 1
2022-01-14 20:37:20.079826 (1.0, 500000.0, 9, 10.0, [[0.3, 0.03], [0.3, 0.03]], 0.99, 0.0, 3) [0.43055570980672847 0.24127418682626375] 1
2022-01-14 20:37:26.220275 (1.0, 500000.0, 9, 10.0, [[0.26, 0.03], [0.26, 0.03]], 0.99, 0.0, 3) [0.5384762676710092 0.081117434396316038] 1
2022-01-14 20:37:28.958479 (1.0, 500000.0, 9, 10.0, [[0.33, 0.03], [0.33, 0.03]], 0.99, 0.0, 3) [0.36051623213021494 0.4831698764622796] 1
2022-01-14 20:37:31.812245 (1.0, 500000.0, 9, 10.0, [[0.27, 0.03], [0.27, 0.03]], 0.99, 0.0, 3) [0.5078447810885413 0.11014756332664422] 1
2022-01-14 20:37:49.115796 (1.0, 500000.0, 9, 10.0, [[0.25, 0.03], [0.25, 0.03]], 0.99, 0.0, 3) [0.5705283580226483 0.058943449008464127] 1
2022-01-14 20:51:24.597516 (1.0, 500000.0, 10, 10.0, [[0.32, 0.03], [0.32, 0.03]], 0.99, 0.0, 3) [0.34164941436038926 0.58295701180282966] 1
2022-01-14 20:51:32.877995 (1.0, 500000.0, 10, 10.0, [[0.28, 0.03], [0.28, 0.03]], 0.99, 0.0, 3) [0.4388068001178086 0.2232118308814397] 1
2022-01-14 20:51:40.163151 (1.0, 500000.0, 10, 10.0, [[0.27, 0.03], [0.27, 0.03]], 0.99, 0.0, 3) [0.46525337915828663 0.17147368496523877] 1
2022-01-14 20:52:02.721665 (1.0, 500000.0, 10, 10.0, [[0.34, 0.03], [0.34, 0.03]], 0.99, 0.0, 3) [0.301432546034939 0.8667788120429234] 1
2022-01-14 20:52:05.754573 (1.0, 500000.0, 10, 10.0, [[0.29, 0.03], [0.29, 0.03]], 0.99, 0.0, 3) [0.41323922606027685 0.28994401864754188] 1
2022-01-14 20:52:11.991357 (1.0, 500000.0, 10, 10.0, [[0.35, 0.03], [0.35, 0.03]], 0.99, 0.0, 3) [0.2830408704268863 1.0261222352883677] 1
2022-01-14 20:52:42.768405 (1.0, 500000.0, 10, 10.0, [[0.26, 0.03], [0.26, 0.03]], 0.99, 0.0, 3) [0.4958213451414253 0.12704624175361887] 1
2022-01-14 20:52:44.311829 (1.0, 500000.0, 10, 10.0, [[0.25, 0.03], [0.25, 0.03]], 0.99, 0.0, 3) [0.5258045765016688 0.093417866809496999] 1
2022-01-14 20:52:45.866627 (1.0, 500000.0, 10, 10.0, [[0.31, 0.03], [0.31, 0.03]], 0.99, 0.0, 3) [0.3632041985283715 0.47129908184225339] 1
2022-01-14 20:53:00.983819 (1.0, 500000.0, 10, 10.0, [[0.3, 0.03], [0.3, 0.03]], 0.99, 0.0, 3) [0.38540826286286034 0.37960873789026861] 1
2022-01-14 20:54:13.606657 (1.0, 500000.0, 10, 10.0, [[0.33, 0.03], [0.33, 0.03]], 0.99, 0.0, 3) [0.32028840429712 0.72054688367582176] 1
2022-01-14 22:29:22.199447 (1.0, 500000.0, 11, 10.0, [[0.34, 0.03], [0.34, 0.03]], 0.99, 0.0, 3) [0.26856405186650517 1.1910889789789805] 1
2022-01-14 22:29:32.670750 (1.0, 500000.0, 11, 10.0, [[0.3, 0.03], [0.3, 0.03]], 0.99, 0.0, 3) [0.35054934706394786 0.54078939026964912] 1
2022-01-14 22:29:35.433729 (1.0, 500000.0, 11, 10.0, [[0.25, 0.03], [0.25, 0.03]], 0.99, 0.0, 3) [0.4872801939857279 0.13858455902699596] 1
2022-01-14 22:29:42.348036 (1.0, 500000.0, 11, 10.0, [[0.32, 0.03], [0.32, 0.03]], 0.99, 0.0, 3) [0.31081009528169484 0.80747888849008687] 1
2022-01-14 22:30:43.739288 (1.0, 500000.0, 11, 10.0, [[0.35, 0.03], [0.35, 0.03]], 0.99, 0.0, 3) [0.25058741653306627 1.4123188982327748] 1
2022-01-14 23:24:56.263256 (1.0, 500000.0, 12, 10.0, [[0.29, 0.03], [0.29, 0.03]], 0.99, 0.0, 3) [0.3433818816156582 0.58760269748915339] 1
2022-01-15 00:48:23.802200 (1.0, 500000.0, 13, 10.0, [[0.32, 0.03], [0.32, 0.03]], 0.99, 0.0, 3) [0.2529883346220096 1.4109257075705846] 1
2022-01-15 00:49:08.550206 (1.0, 500000.0, 13, 10.0, [[0.31, 0.03], [0.31, 0.03]], 0.99, 0.0, 3) [0.2736560311265225 1.1639127874409974] 1
2022-01-15 00:49:09.099069 (1.0, 500000.0, 13, 10.0, [[0.35, 0.03], [0.35, 0.03]], 0.99, 0.0, 3) [0.2042458303534945 2.2518329293265928] 1
2022-01-15 00:49:51.145147 (1.0, 500000.0, 13, 10.0, [[0.27, 0.03], [0.27, 0.03]], 0.99, 0.0, 3) [0.36410109962806936 0.47861231646588409] 1
2022-01-15 00:50:55.898357 (1.0, 500000.0, 13, 10.0, [[0.26, 0.03], [0.26, 0.03]], 0.99, 0.0, 3) [0.3912404658852049 0.36531905522118546] 1
2022-01-15 02:21:38.797872 (1.0, 500000.0, 14, 10.0, [[0.27, 0.03], [0.27, 0.03]], 0.99, 0.0, 3) [0.3394547675870755 0.61473518745946254] 1
2022-01-15 02:22:07.866590 (1.0, 500000.0, 14, 10.0, [[0.34, 0.03], [0.34, 0.03]], 0.99, 0.0, 3) [0.19575534187369986 2.4299758730083267] 1
2022-01-15 02:22:47.283784 (1.0, 500000.0, 14, 10.0, [[0.33, 0.03], [0.33, 0.03]], 0.99, 0.0, 3) [0.21330850321327458 2.081330132601054] 1
2022-01-15 02:26:23.891083 (1.0, 500000.0, 14, 10.0, [[0.25, 0.03], [0.25, 0.03]], 0.99, 0.0, 3) [0.39043327405925093 0.3671012893986042] 1
2022-01-15 03:21:55.071355 (1.0, 500000.0, 12, 10.0, [[0.34, 0.03], [0.34, 0.03]], 0.99, 0.0, 3) [0.2421155785198556 1.5639656223755438] 1
2022-01-15 03:22:01.050253 (1.0, 500000.0, 12, 10.0, [[0.31, 0.03], [0.31, 0.03]], 0.99, 0.0, 3) [0.2991639199677309 0.90418938878640731] 1
2022-01-15 03:27:01.447541 (1.0, 500000.0, 12, 10.0, [[0.27, 0.03], [0.27, 0.03]], 0.99, 0.0, 3) [0.39378970301837407 0.35656480690238002] 1
2022-01-15 03:27:11.179906 (1.0, 500000.0, 12, 10.0, [[0.35, 0.03], [0.35, 0.03]], 0.99, 0.0, 3) [0.22568636329909553 1.8053655663952353] 1
2022-01-15 03:27:15.460298 (1.0, 500000.0, 12, 10.0, [[0.26, 0.03], [0.26, 0.03]], 0.99, 0.0, 3) [0.41980761016188345 0.271679133222129] 1
2022-01-15 03:28:20.543542 (1.0, 500000.0, 12, 10.0, [[0.28, 0.03], [0.28, 0.03]], 0.99, 0.0, 3) [0.3691963079848368 0.4556443199609902] 1
2022-01-15 03:30:12.526934 (1.0, 500000.0, 12, 10.0, [[0.33, 0.03], [0.33, 0.03]], 0.99, 0.0, 3) [0.2613533808900092 1.3104525756362793] 1
2022-01-15 03:30:15.846879 (1.0, 500000.0, 12, 10.0, [[0.25, 0.03], [0.25, 0.03]], 0.99, 0.0, 3) [0.45431856542267 0.19502791635347758] 1
2022-01-15 03:36:26.761724 (1.0, 500000.0, 12, 10.0, [[0.3, 0.03], [0.3, 0.03]], 0.99, 0.0, 3) [0.3199416929976461 0.74271979774556007] 1
2022-01-15 03:36:28.104955 (1.0, 500000.0, 12, 10.0, [[0.32, 0.03], [0.32, 0.03]], 0.99, 0.0, 3) [0.27981275282537926 1.0895884920542129] 1
2022-01-15 09:12:50.370977 (1.0, 500000.0, 14, 10.0, [[0.29, 0.03], [0.29, 0.03]], 0.99, 0.0, 3) [0.2911355469194947 0.99329106182585347] 1
2022-01-15 09:12:59.777238 (1.0, 500000.0, 14, 10.0, [[0.32, 0.03], [0.32, 0.03]], 0.99, 0.0, 3) [0.23010119262613246 1.7695006137453886] 1
2022-01-15 13:00:50.515832 (1.0, 500000.0, 11, 10.0, [[0.31, 0.03], [0.31, 0.03]], 0.99, 0.0, 3) [0.32881534224337383 0.66923778425515168] 1
2022-01-15 13:02:00.511916 (1.0, 500000.0, 11, 10.0, [[0.28, 0.03], [0.28, 0.03]], 0.99, 0.0, 3) [0.39894185810093846 0.33378966576406638] 1
2022-01-15 13:02:29.885132 (1.0, 500000.0, 11, 10.0, [[0.29, 0.03], [0.29, 0.03]], 0.99, 0.0, 3) [0.3759672463501797 0.42238019191170795] 1
2022-01-15 13:06:04.230457 (1.0, 500000.0, 11, 10.0, [[0.33, 0.03], [0.33, 0.03]], 0.99, 0.0, 3) [0.2883387528105532 0.99486054171367477] 1
2022-01-15 13:07:04.280077 (1.0, 500000.0, 11, 10.0, [[0.26, 0.03], [0.26, 0.03]], 0.99, 0.0, 3) [0.4539761723360972 0.19260218817116564] 1
2022-01-15 13:07:15.892560 (1.0, 500000.0, 11, 10.0, [[0.27, 0.03], [0.27, 0.03]], 0.99, 0.0, 3) [0.42914853865345637 0.25187826725788365] 1
