2022-01-26 10:58:04.518569 (1.0, 500000.0, 6, 10.0, [[0.7, 0.03], [0.7, 0.03]], 0.99, 0.0, 3) [0.11154677804861231 4.5608855122496985] 1
2022-01-26 10:58:04.849551 (1.0, 500000.0, 6, 10.0, [[0.67, 0.03], [0.67, 0.03]], 0.99, 0.0, 3) [0.126467509096758 4.0197975402130366] 1
2022-01-26 10:58:07.555167 (1.0, 500000.0, 6, 10.0, [[0.68, 0.03], [0.68, 0.03]], 0.99, 0.0, 3) [0.12011031017117767 4.2338060910945723] 1
2022-01-26 10:58:12.750648 (1.0, 500000.0, 6, 10.0, [[0.69, 0.03], [0.69, 0.03]], 0.99, 0.0, 3) [0.11798110923256311 4.363507830974477] 1
2022-01-26 10:58:17.056144 (1.0, 500000.0, 6, 10.0, [[0.74, 0.03], [0.74, 0.03]], 0.99, 0.0, 3) [0.09723264266444041 5.2890426735485052] 1
2022-01-26 10:58:17.705205 (1.0, 500000.0, 6, 10.0, [[0.56, 0.03], [0.56, 0.03]], 0.99, 0.0, 3) [0.19487867941570586 2.1868457595306929] 1
2022-01-26 10:58:17.992025 (1.0, 500000.0, 6, 10.0, [[0.62, 0.03], [0.62, 0.03]], 0.99, 0.0, 3) [0.1526711924941905 3.1576431316279869] 1
2022-01-26 10:58:18.543244 (1.0, 500000.0, 6, 10.0, [[0.63, 0.03], [0.63, 0.03]], 0.99, 0.0, 3) [0.14693041749785066 3.3335119321251958] 1
2022-01-26 11:17:27.328467 (1.0, 500000.0, 7, 10.0, [[0.69, 0.03], [0.69, 0.03]], 0.99, 0.0, 3) [0.08689264903209427 6.1031654376990545] 1
2022-01-26 11:17:54.434156 (1.0, 500000.0, 7, 10.0, [[0.62, 0.03], [0.62, 0.03]], 0.99, 0.0, 3) [0.1150505447531553 4.5711082993926295] 1
2022-01-26 11:21:31.275195 (1.0, 500000.0, 6, 10.0, [[0.71, 0.03], [0.71, 0.03]], 0.99, 0.0, 3) [0.10731890802658177 4.7608760809061303] 1
2022-01-26 11:21:32.484627 (1.0, 500000.0, 6, 10.0, [[0.58, 0.03], [0.58, 0.03]], 0.99, 0.0, 3) [0.1805951212009385 2.4828009774334467] 1
2022-01-26 11:34:57.963528 (1.0, 500000.0, 8, 10.0, [[0.61, 0.03], [0.61, 0.03]], 0.99, 0.0, 3) [0.09491500863902444 5.8013873033420094] 1
2022-01-26 11:35:23.693655 (1.0, 500000.0, 8, 10.0, [[0.67, 0.03], [0.67, 0.03]], 0.99, 0.0, 3) [0.07221795101538586 7.4535253769007399] 1
2022-01-26 11:35:29.521434 (1.0, 500000.0, 8, 10.0, [[0.72, 0.03], [0.72, 0.03]], 0.99, 0.0, 3) [0.05940929295715049 8.9492009013020333] 1
