2022-01-05 13:03:57.234731 (1.0, 500000.0, 6, 10.0, [[0.5, 0.9], [0.5, 0.9]], 0.99, 0.0, 3) [0.07856497573844558 5.8225233408799975] 1
2022-01-05 13:04:15.566825 (1.0, 500000.0, 6, 10.0, [[0.5, 0.5], [0.5, 0.5]], 0.99, 0.0, 3) [0.16485292417484784 2.6877504361957203] 1
2022-01-05 13:04:18.886275 (1.0, 500000.0, 6, 10.0, [[0.5, 0.3], [0.5, 0.3]], 0.99, 0.0, 3) [0.22384856908475828 1.6246953212354511] 1
2022-01-05 13:04:51.189351 (1.0, 500000.0, 6, 10.0, [[0.5, 0.8], [0.5, 0.8]], 0.99, 0.0, 3) [0.09330503042968898 5.0484755232542753] 1
2022-01-05 13:15:25.492508 (1.0, 500000.0, 7, 10.0, [[0.5, 0.6], [0.5, 0.6]], 0.99, 0.0, 3) [0.10018806069287066 4.8812196397679024] 1
2022-01-05 13:15:32.194486 (1.0, 500000.0, 7, 10.0, [[0.5, 0.3], [0.5, 0.3]], 0.99, 0.0, 3) [0.17639600016669288 2.5436636297557076] 1
2022-01-05 13:15:54.099647 (1.0, 500000.0, 7, 10.0, [[0.5, 0.5], [0.5, 0.5]], 0.99, 0.0, 3) [0.12320201544007785 3.9348300757590953] 1
2022-01-05 13:16:57.929395 (1.0, 500000.0, 7, 10.0, [[0.5, 0.7], [0.5, 0.7]], 0.99, 0.0, 3) [0.08113819241810664 5.8918589018244782] 1
2022-01-05 13:32:39.191015 (1.0, 500000.0, 8, 10.0, [[0.5, 0.4], [0.5, 0.4]], 0.99, 0.0, 3) [0.11725304147905773 4.2983948738652646] 1
2022-01-05 13:32:44.315981 (1.0, 500000.0, 8, 10.0, [[0.5, 0.1], [0.5, 0.1]], 0.99, 0.0, 3) [0.15995429878802436 3.0732162812846702] 1
2022-01-05 13:32:46.584181 (1.0, 500000.0, 8, 10.0, [[0.5, 0.8], [0.5, 0.8]], 0.99, 0.0, 3) [0.0504985819686127 9.0886881967454389] 1
2022-01-05 13:33:17.270337 (1.0, 500000.0, 8, 10.0, [[0.5, 0.3], [0.5, 0.3]], 0.99, 0.0, 3) [0.13902254330628455 3.5954349348356414] 1
2022-01-05 13:54:46.974802 (1.0, 500000.0, 9, 10.0, [[0.5, 0.8], [0.5, 0.8]], 0.99, 0.0, 3) [0.040181437428562866 11.523823227110077] 1
2022-01-05 13:54:51.713191 (1.0, 500000.0, 9, 10.0, [[0.5, 0.6], [0.5, 0.6]], 0.99, 0.0, 3) [0.05974182742997003 8.2096212512189553] 1
2022-01-05 13:55:00.130627 (1.0, 500000.0, 9, 10.0, [[0.5, 0.4], [0.5, 0.4]], 0.99, 0.0, 3) [0.0944052176775899 5.5481517591987881] 1
2022-01-05 13:56:27.432718 (1.0, 500000.0, 9, 10.0, [[0.5, 0.5], [0.5, 0.5]], 0.99, 0.0, 3) [0.07492213947604219 6.7452190539616828] 1
2022-01-05 14:23:16.819834 (1.0, 500000.0, 10, 10.0, [[0.5, 0.5], [0.5, 0.5]], 0.99, 0.0, 3) [0.06058922413534901 8.3700258834045531] 1
2022-01-05 14:24:39.075995 (1.0, 500000.0, 10, 10.0, [[0.5, 0.4], [0.5, 0.4]], 0.99, 0.0, 3) [0.07464541791431109 6.9354477143847424] 1
2022-01-05 14:33:58.516181 (1.0, 500000.0, 10, 10.0, [[0.5, 0.3], [0.5, 0.3]], 0.99, 0.0, 3) [0.09032660123207592 5.9283326549121398] 1
2022-01-05 15:05:18.016169 (1.0, 500000.0, 11, 10.0, [[0.5, 0.1], [0.5, 0.1]], 0.99, 0.0, 3) [0.09078000863847169 6.3125020927056283] 1
2022-01-05 15:06:05.184360 (1.0, 500000.0, 11, 10.0, [[0.5, 0.4], [0.5, 0.4]], 0.99, 0.0, 3) [0.061307547195209054 8.4133201728374534] 1
2022-01-05 15:06:50.543465 (1.0, 500000.0, 11, 10.0, [[0.5, 0.9], [0.5, 0.9]], 0.99, 0.0, 3) [0.023217620482516327 19.793653557090458] 1
2022-01-05 15:07:36.830471 (1.0, 500000.0, 11, 10.0, [[0.5, 0.7], [0.5, 0.7]], 0.99, 0.0, 3) [0.0323087643382717 14.729918756285906] 1
2022-01-05 15:18:59.395075 (1.0, 500000.0, 6, 10.0, [[0.5, 0.7], [0.5, 0.7]], 0.99, 0.0, 3) [0.11012754471944425 4.2514106677224461] 1
