2022-01-14 10:37:18.188772 (1.0, 500000.0, 7, 10.0, [[1.0, 0.1], [1.0, 0.1]], 0.99, 0.0, 3) [0.034395892734282445 14.043759674868253] 1
2022-01-14 10:37:31.064286 (1.0, 500000.0, 7, 10.0, [[1.0, 0.09], [1.0, 0.09]], 0.99, 0.0, 3) [0.033384989119650606 14.092233928353973] 1
2022-01-14 10:37:35.371672 (1.0, 500000.0, 7, 10.0, [[1.0, 0.01], [1.0, 0.01]], 0.99, 0.0, 3) [0.03466425975715586 14.135386591029388] 1
2022-01-14 10:37:37.243266 (1.0, 500000.0, 7, 10.0, [[1.0, 0.04], [1.0, 0.04]], 0.99, 0.0, 3) [0.033401397626069695 14.144942545458507] 1
2022-01-14 10:37:39.771813 (1.0, 500000.0, 7, 10.0, [[1.0, 0.02], [1.0, 0.02]], 0.99, 0.0, 3) [0.033817320134784466 14.14469980792153] 1
2022-01-14 10:37:47.201342 (1.0, 500000.0, 7, 10.0, [[1.0, 0.06], [1.0, 0.06]], 0.99, 0.0, 3) [0.033964153966590464 14.113465067006405] 1
2022-01-14 10:37:58.044130 (1.0, 500000.0, 7, 10.0, [[1.0, 0.08], [1.0, 0.08]], 0.99, 0.0, 3) [0.03307803420023253 14.107682292679401] 1
2022-01-14 10:38:02.532708 (1.0, 500000.0, 7, 10.0, [[1.0, 0.03], [1.0, 0.03]], 0.99, 0.0, 3) [0.033383677313483635 14.158193395478518] 1
2022-01-14 10:38:05.130640 (1.0, 500000.0, 7, 10.0, [[1.0, 0.05], [1.0, 0.05]], 0.99, 0.0, 3) [0.03415209346865239 14.127594004154373] 1
2022-01-14 10:38:11.564232 (1.0, 500000.0, 7, 10.0, [[1.0, 0.07], [1.0, 0.07]], 0.99, 0.0, 3) [0.03384591567134616 14.09390215768618] 1
2022-01-14 10:45:18.746355 (1.0, 500000.0, 8, 10.0, [[1.0, 0.09], [1.0, 0.09]], 0.99, 0.0, 3) [0.026263657142374035 18.371413016068061] 1
2022-01-14 10:45:21.721400 (1.0, 500000.0, 8, 10.0, [[1.0, 0.05], [1.0, 0.05]], 0.99, 0.0, 3) [0.02557702077866745 18.438017993864126] 1
2022-01-14 10:45:30.287263 (1.0, 500000.0, 8, 10.0, [[1.0, 0.1], [1.0, 0.1]], 0.99, 0.0, 3) [0.02561941877484493 18.352237025401816] 1
2022-01-14 10:45:30.803122 (1.0, 500000.0, 8, 10.0, [[1.0, 0.04], [1.0, 0.04]], 0.99, 0.0, 3) [0.025185484060228833 18.454847577509] 1
2022-01-14 10:45:36.745608 (1.0, 500000.0, 8, 10.0, [[1.0, 0.08], [1.0, 0.08]], 0.99, 0.0, 3) [0.02489495732484903 18.397282325478965] 1
2022-01-14 10:45:36.875454 (1.0, 500000.0, 8, 10.0, [[1.0, 0.07], [1.0, 0.07]], 0.99, 0.0, 3) [0.02549138463915261 18.42489460654237] 1
2022-01-14 10:45:39.089332 (1.0, 500000.0, 8, 10.0, [[1.0, 0.03], [1.0, 0.03]], 0.99, 0.0, 3) [0.025532457177400693 18.451416723793109] 1
2022-01-14 10:45:43.392549 (1.0, 500000.0, 8, 10.0, [[1.0, 0.01], [1.0, 0.01]], 0.99, 0.0, 3) [0.025372557488980006 18.506891766420068] 1
2022-01-14 10:45:44.956071 (1.0, 500000.0, 8, 10.0, [[1.0, 0.06], [1.0, 0.06]], 0.99, 0.0, 3) [0.02527576116639403 18.446263289209945] 1
2022-01-14 10:45:55.848116 (1.0, 500000.0, 8, 10.0, [[1.0, 0.02], [1.0, 0.02]], 0.99, 0.0, 3) [0.02573612139546698 18.449840840412328] 1
2022-01-14 10:55:36.152289 (1.0, 500000.0, 9, 10.0, [[1.0, 0.01], [1.0, 0.01]], 0.99, 0.0, 3) [0.020498719128346485 23.385985434830435] 1
2022-01-14 10:55:45.885494 (1.0, 500000.0, 9, 10.0, [[1.0, 0.04], [1.0, 0.04]], 0.99, 0.0, 3) [0.019753704374277183 23.369862164581068] 1
2022-01-14 10:56:06.648626 (1.0, 500000.0, 9, 10.0, [[1.0, 0.07], [1.0, 0.07]], 0.99, 0.0, 3) [0.019611227006786473 23.326928961125279] 1
2022-01-14 10:56:09.071215 (1.0, 500000.0, 9, 10.0, [[1.0, 0.09], [1.0, 0.09]], 0.99, 0.0, 3) [0.02039823483204509 23.23719788114596] 1
2022-01-14 10:56:14.286130 (1.0, 500000.0, 9, 10.0, [[1.0, 0.02], [1.0, 0.02]], 0.99, 0.0, 3) [0.019729654900523967 23.396841203901268] 1
2022-01-14 10:56:15.785856 (1.0, 500000.0, 9, 10.0, [[1.0, 0.08], [1.0, 0.08]], 0.99, 0.0, 3) [0.02013214612593995 23.321971647271969] 1
2022-01-14 10:56:18.891231 (1.0, 500000.0, 9, 10.0, [[1.0, 0.1], [1.0, 0.1]], 0.99, 0.0, 3) [0.020212801881812126 23.245843788109067] 1
2022-01-14 10:56:23.270720 (1.0, 500000.0, 9, 10.0, [[1.0, 0.06], [1.0, 0.06]], 0.99, 0.0, 3) [0.019736944166597742 23.316691641337158] 1
2022-01-14 10:56:37.350419 (1.0, 500000.0, 9, 10.0, [[1.0, 0.05], [1.0, 0.05]], 0.99, 0.0, 3) [0.02006177320075089 23.357642132748524] 1
2022-01-14 10:56:46.125474 (1.0, 500000.0, 9, 10.0, [[1.0, 0.03], [1.0, 0.03]], 0.99, 0.0, 3) [0.01980382694197202 23.384088051109511] 1
2022-01-14 11:17:26.722391 (1.0, 500000.0, 6, 10.0, [[1.0, 0.05], [1.0, 0.05]], 0.99, 0.0, 3) [0.046129600368133634 10.340593030888598] 1
2022-01-14 11:17:27.845424 (1.0, 500000.0, 6, 10.0, [[1.0, 0.06], [1.0, 0.06]], 0.99, 0.0, 3) [0.046758015383697754 10.342678283964137] 1
2022-01-14 11:17:38.105035 (1.0, 500000.0, 6, 10.0, [[1.0, 0.09], [1.0, 0.09]], 0.99, 0.0, 3) [0.04595645117826845 10.325851551770791] 1
2022-01-14 11:17:45.438210 (1.0, 500000.0, 6, 10.0, [[1.0, 0.02], [1.0, 0.02]], 0.99, 0.0, 3) [0.04686019336133059 10.372076598993894] 1
2022-01-14 11:18:01.865324 (1.0, 500000.0, 6, 10.0, [[1.0, 0.08], [1.0, 0.08]], 0.99, 0.0, 3) [0.046002185794770355 10.333952275530855] 1
2022-01-14 11:18:07.293392 (1.0, 500000.0, 6, 10.0, [[1.0, 0.04], [1.0, 0.04]], 0.99, 0.0, 3) [0.046228210491042976 10.364432474617661] 1
2022-01-14 11:18:35.384962 (1.0, 500000.0, 6, 10.0, [[1.0, 0.1], [1.0, 0.1]], 0.99, 0.0, 3) [0.04569240630323895 10.313428406629406] 1
2022-01-14 11:18:39.315698 (1.0, 500000.0, 6, 10.0, [[1.0, 0.07], [1.0, 0.07]], 0.99, 0.0, 3) [0.046148351110280865 10.309910117852734] 1
2022-01-14 11:19:41.876494 (1.0, 500000.0, 6, 10.0, [[1.0, 0.01], [1.0, 0.01]], 0.99, 0.0, 3) [0.04659080520703832 10.378836449635712] 1
2022-01-14 11:19:44.691675 (1.0, 500000.0, 6, 10.0, [[1.0, 0.03], [1.0, 0.03]], 0.99, 0.0, 3) [0.046602018536742916 10.360893161566576] 1
2022-01-14 11:28:20.143047 (1.0, 500000.0, 10, 10.0, [[1.0, 0.01], [1.0, 0.01]], 0.99, 0.0, 3) [0.01611384112915417 28.819095863381413] 1
2022-01-14 11:28:49.672086 (1.0, 500000.0, 10, 10.0, [[1.0, 0.1], [1.0, 0.1]], 0.99, 0.0, 3) [0.01584860912488059 28.682087519765325] 1
2022-01-14 11:29:01.582203 (1.0, 500000.0, 10, 10.0, [[1.0, 0.02], [1.0, 0.02]], 0.99, 0.0, 3) [0.015784429606255618 28.858526631139448] 1
2022-01-14 11:54:22.968707 (1.0, 500000.0, 11, 10.0, [[1.0, 0.01], [1.0, 0.01]], 0.99, 0.0, 3) [0.013166379682339273 34.936468373567138] 1
2022-01-14 11:55:11.160268 (1.0, 500000.0, 11, 10.0, [[1.0, 0.1], [1.0, 0.1]], 0.99, 0.0, 3) [0.013499481195874302 34.696325799219764] 1
2022-01-14 11:55:18.160604 (1.0, 500000.0, 11, 10.0, [[1.0, 0.09], [1.0, 0.09]], 0.99, 0.0, 3) [0.013964519505100047 34.744863234150422] 1
2022-01-14 11:55:31.976952 (1.0, 500000.0, 11, 10.0, [[1.0, 0.05], [1.0, 0.05]], 0.99, 0.0, 3) [0.013902471261950673 34.871789940106204] 1
2022-01-14 12:34:53.129215 (1.0, 500000.0, 12, 10.0, [[1.0, 0.07], [1.0, 0.07]], 0.99, 0.0, 3) [0.011535564327017796 41.42084640736406] 1
2022-01-14 12:35:04.558079 (1.0, 500000.0, 12, 10.0, [[1.0, 0.05], [1.0, 0.05]], 0.99, 0.0, 3) [0.011193072443985836 41.484474527842231] 1
2022-01-14 12:35:30.670776 (1.0, 500000.0, 12, 10.0, [[1.0, 0.04], [1.0, 0.04]], 0.99, 0.0, 3) [0.011360697709643071 41.509186833849149] 1
2022-01-14 12:42:54.949306 (1.0, 500000.0, 12, 10.0, [[1.0, 0.1], [1.0, 0.1]], 0.99, 0.0, 3) [0.010938019461010974 41.336949204738936] 1
2022-01-14 12:52:11.245892 (1.0, 500000.0, 10, 10.0, [[1.0, 0.06], [1.0, 0.06]], 0.99, 0.0, 3) [0.016883166768324444 28.819858851892345] 1
2022-01-14 12:52:17.814360 (1.0, 500000.0, 10, 10.0, [[1.0, 0.05], [1.0, 0.05]], 0.99, 0.0, 3) [0.016348365901178732 28.810583709166249] 1
2022-01-14 13:22:50.992123 (1.0, 500000.0, 13, 10.0, [[1.0, 0.07], [1.0, 0.07]], 0.99, 0.0, 3) [0.009607451334660693 48.618085898667324] 1
2022-01-14 13:23:05.343792 (1.0, 500000.0, 13, 10.0, [[1.0, 0.06], [1.0, 0.06]], 0.99, 0.0, 3) [0.00981041811326659 48.653991522055733] 1
2022-01-14 13:25:27.646318 (1.0, 500000.0, 13, 10.0, [[1.0, 0.08], [1.0, 0.08]], 0.99, 0.0, 3) [0.009949335122014619 48.568124169629868] 1
2022-01-14 14:17:16.568498 (1.0, 500000.0, 14, 10.0, [[1.0, 0.03], [1.0, 0.03]], 0.99, 0.0, 3) [0.008243344199807188 56.516504570753959] 1
2022-01-14 14:18:53.365465 (1.0, 500000.0, 14, 10.0, [[1.0, 0.05], [1.0, 0.05]], 0.99, 0.0, 3) [0.008224244844960264 56.446257588704867] 1
2022-01-14 14:19:14.950122 (1.0, 500000.0, 14, 10.0, [[1.0, 0.01], [1.0, 0.01]], 0.99, 0.0, 3) [0.008399130502705163 56.530913629446111] 1
2022-01-14 14:19:40.899634 (1.0, 500000.0, 14, 10.0, [[1.0, 0.08], [1.0, 0.08]], 0.99, 0.0, 3) [0.008752891890612123 56.306202435678884] 1
2022-01-14 16:42:59.789291 (1.0, 500000.0, 13, 10.0, [[1.0, 0.09], [1.0, 0.09]], 0.99, 0.0, 3) [0.009822637405206232 48.577946050574162] 1
2022-01-14 16:43:26.224631 (1.0, 500000.0, 13, 10.0, [[1.0, 0.04], [1.0, 0.04]], 0.99, 0.0, 3) [0.009420810645478457 48.735365783139315] 1
