2022-01-04 19:25:01.287072 (1.0, 500000.0, 6, 10.0, [[0.5, 1e-05], [0.5, 1e-05]], 0.99, 0.0, 3) [0.25133741327757625 1.3166773236964608] 1
2022-01-04 19:25:21.973201 (1.0, 500000.0, 6, 10.0, [[0.5, 1e-08], [0.5, 1e-08]], 0.99, 0.0, 3) [0.2521405044455497 1.3063770503969168] 1
2022-01-04 19:25:23.950306 (1.0, 500000.0, 6, 10.0, [[0.5, 1e-06], [0.5, 1e-06]], 0.99, 0.0, 3) [0.25182035947523734 1.304905341172832] 1
2022-01-04 19:36:07.214449 (1.0, 500000.0, 7, 10.0, [[0.5, 0.001], [0.5, 0.001]], 0.99, 0.0, 3) [0.20023211641258407 2.1234601812929106] 1
2022-01-04 19:36:21.032779 (1.0, 500000.0, 7, 10.0, [[0.5, 1e-08], [0.5, 1e-08]], 0.99, 0.0, 3) [0.20137237063724012 2.1093965452724546] 1
2022-01-04 19:36:55.580426 (1.0, 500000.0, 7, 10.0, [[0.5, 1e-07], [0.5, 1e-07]], 0.99, 0.0, 3) [0.2018031173624999 2.0976663118398187] 1
2022-01-04 19:53:29.696444 (1.0, 500000.0, 8, 10.0, [[0.5, 1e-08], [0.5, 1e-08]], 0.99, 0.0, 3) [0.16301473815240075 3.0162649371687174] 1
2022-01-04 19:54:10.163702 (1.0, 500000.0, 8, 10.0, [[0.5, 1e-07], [0.5, 1e-07]], 0.99, 0.0, 3) [0.16387045375418852 3.0114767807469609] 1
2022-01-04 20:07:26.940893 (1.0, 500000.0, 11, 10.0, [[0.5, 0.001], [0.5, 0.001]], 0.99, 0.0, 3) [0.09355608386037877 6.2440680475922079] 1
2022-01-04 20:07:42.262422 (1.0, 500000.0, 11, 10.0, [[0.5, 1e-09], [0.5, 1e-09]], 0.99, 0.0, 3) [0.09393942945736117 6.2373230068227716] 1
2022-01-04 20:07:43.957664 (1.0, 500000.0, 11, 10.0, [[0.5, 1e-06], [0.5, 1e-06]], 0.99, 0.0, 3) [0.0945937868925906 6.2235351259971869] 1
2022-01-04 20:07:59.823056 (1.0, 500000.0, 11, 10.0, [[0.5, 1e-10], [0.5, 1e-10]], 0.99, 0.0, 3) [0.09369438018317011 6.2204282217115106] 1
