2022-01-13 16:12:13.566197 (1.0, 500000.0, 6, 10.0, [[1.0, 0.01], [1.0, 0.01]], 0.99, 0.0, 3) [0.046350938115608545 10.368480516031852] 1
2022-01-13 16:12:20.256395 (1.0, 500000.0, 6, 10.0, [[1.0, 0.4], [1.0, 0.4]], 0.99, 0.0, 3) [0.04785306672355553 9.6526984708604768] 1
2022-01-13 16:12:25.311552 (1.0, 500000.0, 6, 10.0, [[1.0, 0.7], [1.0, 0.7]], 0.99, 0.0, 3) [0.04749547022433306 9.4253616708725456] 1
2022-01-13 16:12:27.681881 (1.0, 500000.0, 6, 10.0, [[1.0, 0.2], [1.0, 0.2]], 0.99, 0.0, 3) [0.04671326679578693 10.157805063534335] 1
2022-01-13 16:12:34.000999 (1.0, 500000.0, 6, 10.0, [[1.0, 0.6], [1.0, 0.6]], 0.99, 0.0, 3) [0.047542914276244026 9.388709420224048] 1
2022-01-13 16:12:35.957697 (1.0, 500000.0, 6, 10.0, [[1.0, 0.3], [1.0, 0.3]], 0.99, 0.0, 3) [0.04714785449279987 9.8899240064503235] 1
2022-01-13 16:12:37.793198 (1.0, 500000.0, 6, 10.0, [[1.0, 0.1], [1.0, 0.1]], 0.99, 0.0, 3) [0.04601497219353553 10.324652062190591] 1
2022-01-13 16:12:40.093382 (1.0, 500000.0, 6, 10.0, [[1.0, 0.5], [1.0, 0.5]], 0.99, 0.0, 3) [0.048616826070991326 9.4751812523175563] 1
2022-01-13 16:12:48.798319 (1.0, 500000.0, 6, 10.0, [[1.0, 0.8], [1.0, 0.8]], 0.99, 0.0, 3) [0.045916726694600285 9.5045966867653711] 1
2022-01-13 16:12:56.238541 (1.0, 500000.0, 6, 10.0, [[1.0, 0.99], [1.0, 0.99]], 0.99, 0.0, 3) [0.04358630451336464 9.8684523493543583] 1
2022-01-13 16:13:07.867449 (1.0, 500000.0, 6, 10.0, [[1.0, 0.9], [1.0, 0.9]], 0.99, 0.0, 3) [0.04510910675707958 9.675555933057117] 1
2022-01-13 16:40:07.068951 (1.0, 500000.0, 7, 10.0, [[1.0, 0.5], [1.0, 0.5]], 0.99, 0.0, 3) [0.03568672923663026 12.901463060121968] 1
2022-01-13 16:40:29.907968 (1.0, 500000.0, 7, 10.0, [[1.0, 0.9], [1.0, 0.9]], 0.99, 0.0, 3) [0.03255110924729087 13.178308842849461] 1
2022-01-13 16:41:29.153339 (1.0, 500000.0, 7, 10.0, [[1.0, 0.8], [1.0, 0.8]], 0.99, 0.0, 3) [0.03318506729601034 12.97078329268769] 1
2022-01-13 16:57:00.823650 (1.0, 500000.0, 8, 10.0, [[1.0, 0.99], [1.0, 0.99]], 0.99, 0.0, 3) [0.024469969843164928 17.581831548215689] 1
2022-01-13 16:57:05.284225 (1.0, 500000.0, 8, 10.0, [[1.0, 0.5], [1.0, 0.5]], 0.99, 0.0, 3) [0.026787043973445925 16.85140762292972] 1
2022-01-13 16:57:14.576903 (1.0, 500000.0, 8, 10.0, [[1.0, 0.9], [1.0, 0.9]], 0.99, 0.0, 3) [0.02448261172444416 17.240548439248997] 1
2022-01-13 16:57:50.498774 (1.0, 500000.0, 8, 10.0, [[1.0, 0.3], [1.0, 0.3]], 0.99, 0.0, 3) [0.026737634227080344 17.619330557797323] 1
2022-01-13 17:18:10.708000 (1.0, 500000.0, 9, 10.0, [[1.0, 0.9], [1.0, 0.9]], 0.99, 0.0, 3) [0.019806120705710067 21.822210603401839] 1
2022-01-13 17:19:19.334659 (1.0, 500000.0, 9, 10.0, [[1.0, 0.1], [1.0, 0.1]], 0.99, 0.0, 3) [0.020181381652972716 23.251436540270863] 1
2022-01-13 17:19:35.854497 (1.0, 500000.0, 9, 10.0, [[1.0, 0.6], [1.0, 0.6]], 0.99, 0.0, 3) [0.020940412035782684 21.167989078737655] 1
2022-01-13 17:29:08.574031 (1.0, 500000.0, 7, 10.0, [[1.0, 0.99], [1.0, 0.99]], 0.99, 0.0, 3) [0.03228324040043492 13.44258005989137] 1
2022-01-13 17:30:04.041635 (1.0, 500000.0, 7, 10.0, [[1.0, 0.3], [1.0, 0.3]], 0.99, 0.0, 3) [0.03513333956332584 13.490748566478981] 1
2022-01-13 17:36:06.873011 (1.0, 500000.0, 7, 10.0, [[1.0, 0.7], [1.0, 0.7]], 0.99, 0.0, 3) [0.0349684345811683 12.826622660605612] 1
2022-01-13 17:36:11.525455 (1.0, 500000.0, 7, 10.0, [[1.0, 0.2], [1.0, 0.2]], 0.99, 0.0, 3) [0.033599698265681155 13.821866348096473] 1
2022-01-13 17:47:53.939817 (1.0, 500000.0, 10, 10.0, [[1.0, 0.8], [1.0, 0.8]], 0.99, 0.0, 3) [0.01679226345379945 26.442199616003897] 1
2022-01-13 17:48:31.078745 (1.0, 500000.0, 10, 10.0, [[1.0, 0.9], [1.0, 0.9]], 0.99, 0.0, 3) [0.01640341912020937 26.947998919093198] 1
2022-01-13 17:48:59.196815 (1.0, 500000.0, 10, 10.0, [[1.0, 0.5], [1.0, 0.5]], 0.99, 0.0, 3) [0.016746495736734944 26.382083106356351] 1
2022-01-13 17:49:45.204402 (1.0, 500000.0, 10, 10.0, [[1.0, 0.6], [1.0, 0.6]], 0.99, 0.0, 3) [0.01691175885752498 26.141886896963815] 1
2022-01-13 18:11:56.846050 (1.0, 500000.0, 12, 10.0, [[1.0, 0.3], [1.0, 0.3]], 0.99, 0.0, 3) [0.011380115490948247 39.694097966400534] 1
2022-01-13 18:12:11.567118 (1.0, 500000.0, 12, 10.0, [[1.0, 0.9], [1.0, 0.9]], 0.99, 0.0, 3) [0.011444449202754304 38.819356369805107] 1
2022-01-13 18:12:15.893933 (1.0, 500000.0, 12, 10.0, [[1.0, 0.5], [1.0, 0.5]], 0.99, 0.0, 3) [0.01230236094812859 37.987023691641944] 1
2022-01-13 18:12:20.304762 (1.0, 500000.0, 12, 10.0, [[1.0, 0.01], [1.0, 0.01]], 0.99, 0.0, 3) [0.011921815456720244 41.573472033545904] 1
2022-01-13 18:32:34.258840 (1.0, 500000.0, 11, 10.0, [[1.0, 0.4], [1.0, 0.4]], 0.99, 0.0, 3) [0.01420622215162056 32.516736032447191] 1
2022-01-13 18:32:52.391600 (1.0, 500000.0, 11, 10.0, [[1.0, 0.2], [1.0, 0.2]], 0.99, 0.0, 3) [0.014163273605134545 34.12347418521864] 1
2022-01-13 18:34:08.899072 (1.0, 500000.0, 11, 10.0, [[1.0, 0.7], [1.0, 0.7]], 0.99, 0.0, 3) [0.01355045602525594 31.702488279571195] 1
2022-01-13 18:34:20.222709 (1.0, 500000.0, 11, 10.0, [[1.0, 0.01], [1.0, 0.01]], 0.99, 0.0, 3) [0.013531850049418271 34.91654524607965] 1
2022-01-13 18:54:17.792453 (1.0, 500000.0, 9, 10.0, [[1.0, 0.7], [1.0, 0.7]], 0.99, 0.0, 3) [0.02031885425715716 21.211710815409994] 1
2022-01-13 18:54:24.092187 (1.0, 500000.0, 9, 10.0, [[1.0, 0.99], [1.0, 0.99]], 0.99, 0.0, 3) [0.019794540904472264 22.251547074366943] 1
2022-01-13 18:58:01.934270 (1.0, 500000.0, 13, 10.0, [[1.0, 0.6], [1.0, 0.6]], 0.99, 0.0, 3) [0.010291836808878256 44.219553374130477] 1
2022-01-13 18:59:10.456418 (1.0, 500000.0, 13, 10.0, [[1.0, 0.4], [1.0, 0.4]], 0.99, 0.0, 3) [0.00974894350480498 45.410360367833256] 1
2022-01-13 19:01:29.454526 (1.0, 500000.0, 13, 10.0, [[1.0, 0.8], [1.0, 0.8]], 0.99, 0.0, 3) [0.009509719615754034 44.75338569068672] 1
2022-01-13 19:04:20.429582 (1.0, 500000.0, 9, 10.0, [[1.0, 0.2], [1.0, 0.2]], 0.99, 0.0, 3) [0.020153150552680958 22.879769311773572] 1
2022-01-13 19:05:12.307124 (1.0, 500000.0, 9, 10.0, [[1.0, 0.4], [1.0, 0.4]], 0.99, 0.0, 3) [0.021365239961550084 21.780351021847149] 1
2022-01-13 19:06:56.597829 (1.0, 500000.0, 8, 10.0, [[1.0, 0.6], [1.0, 0.6]], 0.99, 0.0, 3) [0.026142535380835042 16.723339744026919] 1
2022-01-13 19:07:27.573671 (1.0, 500000.0, 8, 10.0, [[1.0, 0.4], [1.0, 0.4]], 0.99, 0.0, 3) [0.02662300788776817 17.179892585489306] 1
2022-01-13 19:07:38.326217 (1.0, 500000.0, 8, 10.0, [[1.0, 0.8], [1.0, 0.8]], 0.99, 0.0, 3) [0.02522020144044523 16.932120101449968] 1
2022-01-13 19:10:03.749739 (1.0, 500000.0, 7, 10.0, [[1.0, 0.1], [1.0, 0.1]], 0.99, 0.0, 3) [0.0329360904070689 14.059946884324194] 1
2022-01-13 19:14:20.692223 (1.0, 500000.0, 7, 10.0, [[1.0, 0.01], [1.0, 0.01]], 0.99, 0.0, 3) [0.03387908216411095 14.130429678336519] 1
2022-01-13 19:31:18.435114 (1.0, 500000.0, 7, 10.0, [[1.0, 0.4], [1.0, 0.4]], 0.99, 0.0, 3) [0.03503259475105691 13.156587027671653] 1
2022-01-13 19:33:35.779021 (1.0, 500000.0, 7, 10.0, [[1.0, 0.6], [1.0, 0.6]], 0.99, 0.0, 3) [0.03578627889496375 12.775391504294513] 1
2022-01-13 19:49:16.573639 (1.0, 500000.0, 10, 10.0, [[1.0, 0.99], [1.0, 0.99]], 0.99, 0.0, 3) [0.015326849288352474 27.490201216940971] 1
2022-01-13 19:49:29.105695 (1.0, 500000.0, 10, 10.0, [[1.0, 0.3], [1.0, 0.3]], 0.99, 0.0, 3) [0.016369234503722376 27.526087373434756] 1
2022-01-13 19:54:01.676754 (1.0, 500000.0, 14, 10.0, [[1.0, 0.7], [1.0, 0.7]], 0.99, 0.0, 3) [0.008111137210720334 51.317699976410168] 1
2022-01-13 19:54:32.016966 (1.0, 500000.0, 14, 10.0, [[1.0, 0.6], [1.0, 0.6]], 0.99, 0.0, 3) [0.00861195216000866 51.244886708964152] 1
2022-01-13 19:55:15.723159 (1.0, 500000.0, 14, 10.0, [[1.0, 0.01], [1.0, 0.01]], 0.99, 0.0, 3) [0.008058674919927627 56.540999620690293] 1
2022-01-13 19:58:34.357594 (1.0, 500000.0, 14, 10.0, [[1.0, 0.9], [1.0, 0.9]], 0.99, 0.0, 3) [0.008735043525195243 52.837614311652672] 1
2022-01-13 20:12:31.638956 (1.0, 500000.0, 8, 10.0, [[1.0, 0.2], [1.0, 0.2]], 0.99, 0.0, 3) [0.025775562767983796 18.069923882210457] 1
2022-01-13 20:14:29.374074 (1.0, 500000.0, 8, 10.0, [[1.0, 0.1], [1.0, 0.1]], 0.99, 0.0, 3) [0.025724708730925767 18.352285892289522] 1
2022-01-13 20:14:37.430392 (1.0, 500000.0, 8, 10.0, [[1.0, 0.7], [1.0, 0.7]], 0.99, 0.0, 3) [0.025590001701841603 16.755257628131126] 1
2022-01-13 20:14:41.658929 (1.0, 500000.0, 8, 10.0, [[1.0, 0.01], [1.0, 0.01]], 0.99, 0.0, 3) [0.025393391121224164 18.476790759069203] 1
2022-01-13 20:52:54.511618 (1.0, 500000.0, 12, 10.0, [[1.0, 0.1], [1.0, 0.1]], 0.99, 0.0, 3) [0.011751212076552074 41.285157111246548] 1
2022-01-13 20:53:29.744994 (1.0, 500000.0, 12, 10.0, [[1.0, 0.7], [1.0, 0.7]], 0.99, 0.0, 3) [0.011927591075701235 37.746886928352119] 1
2022-01-13 21:30:42.040476 (1.0, 500000.0, 11, 10.0, [[1.0, 0.3], [1.0, 0.3]], 0.99, 0.0, 3) [0.01394705017529482 33.326533792433096] 1
2022-01-13 21:30:49.887275 (1.0, 500000.0, 11, 10.0, [[1.0, 0.9], [1.0, 0.9]], 0.99, 0.0, 3) [0.013162691699089164 32.614761736133723] 1
2022-01-13 22:01:54.310535 (1.0, 500000.0, 9, 10.0, [[1.0, 0.01], [1.0, 0.01]], 0.99, 0.0, 3) [0.01936228661532 23.377290871598301] 1
2022-01-13 22:02:53.067167 (1.0, 500000.0, 9, 10.0, [[1.0, 0.5], [1.0, 0.5]], 0.99, 0.0, 3) [0.020721604884757265 21.354483316188443] 1
2022-01-13 22:06:53.521617 (1.0, 500000.0, 9, 10.0, [[1.0, 0.3], [1.0, 0.3]], 0.99, 0.0, 3) [0.021036919685797736 22.323359894217937] 1
2022-01-13 22:08:39.052364 (1.0, 500000.0, 9, 10.0, [[1.0, 0.8], [1.0, 0.8]], 0.99, 0.0, 3) [0.019990395447590313 21.427789300172709] 1
2022-01-13 22:30:11.260039 (1.0, 500000.0, 13, 10.0, [[1.0, 0.01], [1.0, 0.01]], 0.99, 0.0, 3) [0.009540769434647135 48.757089645486289] 1
2022-01-13 22:30:39.811853 (1.0, 500000.0, 13, 10.0, [[1.0, 0.1], [1.0, 0.1]], 0.99, 0.0, 3) [0.009776026011866262 48.509254224762763] 1
2022-01-13 22:38:40.910094 (1.0, 500000.0, 13, 10.0, [[1.0, 0.9], [1.0, 0.9]], 0.99, 0.0, 3) [0.008879786041765859 45.547992810271005] 1
2022-01-13 22:38:41.718900 (1.0, 500000.0, 13, 10.0, [[1.0, 0.99], [1.0, 0.99]], 0.99, 0.0, 3) [0.009416227534041028 46.468057379045987] 1
2022-01-14 00:26:59.854487 (1.0, 500000.0, 14, 10.0, [[1.0, 0.99], [1.0, 0.99]], 0.99, 0.0, 3) [0.007949785480472203 53.882471480488547] 1
2022-01-14 00:28:02.905385 (1.0, 500000.0, 14, 10.0, [[1.0, 0.5], [1.0, 0.5]], 0.99, 0.0, 3) [0.00857666907160007 51.707809519182234] 1
2022-01-14 01:28:06.735729 (1.0, 500000.0, 10, 10.0, [[1.0, 0.1], [1.0, 0.1]], 0.99, 0.0, 3) [0.016427293093415955 28.681517263475865] 1
2022-01-14 01:37:35.560452 (1.0, 500000.0, 10, 10.0, [[1.0, 0.2], [1.0, 0.2]], 0.99, 0.0, 3) [0.016422319052464766 28.194835734841664] 1
2022-01-14 01:42:21.733023 (1.0, 500000.0, 10, 10.0, [[1.0, 0.4], [1.0, 0.4]], 0.99, 0.0, 3) [0.017032813469183686 26.894559161777369] 1
2022-01-14 01:43:00.577382 (1.0, 500000.0, 10, 10.0, [[1.0, 0.01], [1.0, 0.01]], 0.99, 0.0, 3) [0.01645659886312041 28.84637409929487] 1
2022-01-14 01:44:21.051081 (1.0, 500000.0, 10, 10.0, [[1.0, 0.7], [1.0, 0.7]], 0.99, 0.0, 3) [0.016871553387116333 26.199950935223669] 1
