,date,time,eps,Lz,L,W,tLow,c,E,dim,lyap,std,g,reals,runtime,fname
345,2022-06-23,22:57:52.848441,1.0,100000.0,10.0,10.0,0.3,0.2,0.0,3.0,0.45876931389809195,0.005011529365203233,0.00042612048361830094,10.0,413.42942667007446,E0W10-wide-L10-20-10x.txt
347,2022-06-23,23:04:12.590723,1.0,100000.0,10.0,10.0,0.3,0.2,0.0,3.0,0.4583789621990585,0.006298800866402196,0.00042941564449970517,10.0,379.7396812438965,E0W10-wide-L10-20-10x.txt
352,2022-06-23,23:16:24.129849,1.0,100000.0,10.0,10.0,0.3,0.2,0.0,3.0,0.45394518557764557,0.005658706101996881,0.00046806207606676887,10.0,731.5274083614349,E0W10-wide-L10-20-10x.txt
354,2022-06-23,23:22:27.441146,1.0,100000.0,10.0,10.0,0.3,0.2,0.0,3.0,0.46042547268157313,0.0032912455465746466,0.0004120585097536085,10.0,363.3089642524719,E0W10-wide-L10-20-10x.txt
357,2022-06-23,23:28:10.399979,1.0,100000.0,10.0,10.0,0.3,0.2,0.0,3.0,0.4569522531501205,0.004078408069217067,0.0004417945741404994,10.0,342.9557068347931,E0W10-wide-L10-20-10x.txt
359,2022-06-23,23:34:01.286653,1.0,100000.0,10.0,10.0,0.3,0.2,0.0,3.0,0.45322566140250764,0.005961921434178686,0.000475027307091197,10.0,350.88315081596375,E0W10-wide-L10-20-10x.txt
362,2022-06-23,23:42:43.436472,1.0,100000.0,10.0,10.0,0.3,0.2,0.0,3.0,0.450783212725665,0.005934954630019102,0.0004981328290534254,10.0,522.1471321582794,E0W10-wide-L10-20-10x.txt
365,2022-06-23,23:53:46.117743,1.0,100000.0,10.0,10.0,0.3,0.2,0.0,3.0,0.45611313127561026,0.00366519263354616,0.0004494361137556417,10.0,662.6777436733246,E0W10-wide-L10-20-10x.txt
368,2022-06-23,23:59:17.425160,1.0,100000.0,10.0,10.0,0.3,0.2,0.0,3.0,0.4547460229524564,0.004186562859967596,0.0004619378584832981,10.0,331.304486989975,E0W10-wide-L10-20-10x.txt
375,2022-06-24,00:17:13.004699,1.0,100000.0,10.0,10.0,0.3,0.2,0.0,3.0,0.4531726583129993,0.006522961772959872,0.00047506122683969675,10.0,1075.5768196582794,E0W10-wide-L10-20-10x.txt
143,2022-05-18,22:10:36.303829,1.0,100000.0,10.0,10.0,0.3,0.25,0.0,3.0,0.3633258186885759,0.010129456045631464,0.0028696710999053378,5.0,243.4959511756897,E0W10-L10-16-5x.txt
146,2022-05-18,22:14:25.697146,1.0,100000.0,10.0,10.0,0.3,0.25,0.0,3.0,0.36318451938950774,0.006486258133458744,0.002871601616420177,5.0,229.39102411270142,E0W10-L10-16-5x.txt
149,2022-05-18,22:18:12.700142,1.0,100000.0,10.0,10.0,0.3,0.25,0.0,3.0,0.3628423766051772,0.005106975274633939,0.0028932741632458968,5.0,226.9981770515442,E0W10-L10-16-5x.txt
151,2022-05-18,22:21:59.886086,1.0,100000.0,10.0,10.0,0.3,0.25,0.0,3.0,0.35772056526935125,0.007005533322620212,0.0031953515626072407,5.0,227.18377566337585,E0W10-L10-16-5x.txt
153,2022-05-18,22:25:49.789973,1.0,100000.0,10.0,10.0,0.3,0.25,0.0,3.0,0.3646930954788928,0.0033140838256767884,0.0027907974900873087,5.0,229.90083122253418,E0W10-L10-16-5x.txt
82,2022-06-23,14:46:56.032004,1.0,100000.0,10.0,10.0,0.3,0.25,0.0,3.0,0.35755715386032355,0.008093272054868553,0.0032145513054382857,10.0,282.1955394744873,E0W10-wide-L10-20-10x.txt
85,2022-06-23,14:51:22.086171,1.0,100000.0,10.0,10.0,0.3,0.25,0.0,3.0,0.36127411736000936,0.008767745387840444,0.002988560875945126,10.0,266.05178451538086,E0W10-wide-L10-20-10x.txt
88,2022-06-23,14:56:00.146516,1.0,100000.0,10.0,10.0,0.3,0.25,0.0,3.0,0.36156374001956626,0.008231784489627131,0.0029708711678351272,10.0,278.0545856952667,E0W10-wide-L10-20-10x.txt
91,2022-06-23,15:00:33.193775,1.0,100000.0,10.0,10.0,0.3,0.25,0.0,3.0,0.36044927428546614,0.006690267366961825,0.0030333112540302525,10.0,273.04461121559143,E0W10-wide-L10-20-10x.txt
94,2022-06-23,15:04:59.558453,1.0,100000.0,10.0,10.0,0.3,0.25,0.0,3.0,0.35940410020205776,0.005956401644460541,0.003092592415460692,10.0,266.35697317123413,E0W10-wide-L10-20-10x.txt
96,2022-06-23,15:09:31.953535,1.0,100000.0,10.0,10.0,0.3,0.25,0.0,3.0,0.36512392148765344,0.005433904396807607,0.0027709624825982063,10.0,272.3920111656189,E0W10-wide-L10-20-10x.txt
