2021-12-06 12:56:28.671540 (1.0, 500000.0, 6, 10.0, [[0.0, 0.3], [1.0, 1.0]], 0.135, 0.0, 3) [0.7658377080674689 0.0078193246600541319] 1
2021-12-06 12:56:38.091362 (1.0, 500000.0, 6, 10.0, [[0.0, 0.3], [1.0, 1.0]], 0.1, 0.0, 3) [0.8789176997162192 0.0025470168365346385] 1
2021-12-06 12:56:50.163257 (1.0, 500000.0, 6, 10.0, [[0.0, 0.3], [1.0, 1.0]], 0.12, 0.0, 3) [0.8147395742926486 0.0048593267519562817] 1
2021-12-06 12:56:53.674120 (1.0, 500000.0, 6, 10.0, [[0.0, 0.3], [1.0, 1.0]], 0.11, 0.0, 3) [0.8453456418767329 0.0035507133366368721] 1
2021-12-06 13:05:56.849666 (1.0, 500000.0, 7, 10.0, [[0.0, 0.3], [1.0, 1.0]], 0.15, 0.0, 3) [0.6376715832939631 0.028715059985382096] 1
2021-12-06 13:06:12.685102 (1.0, 500000.0, 7, 10.0, [[0.0, 0.3], [1.0, 1.0]], 0.135, 0.0, 3) [0.681994723675518 0.018714591886306777] 1
2021-12-06 13:06:17.643032 (1.0, 500000.0, 7, 10.0, [[0.0, 0.3], [1.0, 1.0]], 0.1, 0.0, 3) [0.7868265195700647 0.0063914232500721351] 1
2021-12-06 13:06:43.500894 (1.0, 500000.0, 7, 10.0, [[0.0, 0.3], [1.0, 1.0]], 0.14, 0.0, 3) [0.6621235408786702 0.022428929362269198] 1
2021-12-06 13:20:08.601346 (1.0, 500000.0, 8, 10.0, [[0.0, 0.3], [1.0, 1.0]], 0.125, 0.0, 3) [0.6373767646328315 0.029216869313827058] 1
2021-12-06 13:20:17.269038 (1.0, 500000.0, 8, 10.0, [[0.0, 0.3], [1.0, 1.0]], 0.1, 0.0, 3) [0.7141785626787193 0.013291534012525561] 1
2021-12-06 13:22:09.248614 (1.0, 500000.0, 6, 10.0, [[0.0, 0.3], [1.0, 1.0]], 0.145, 0.0, 3) [0.7344328168540393 0.010809904087689892] 1
2021-12-06 13:22:20.026049 (1.0, 500000.0, 6, 10.0, [[0.0, 0.3], [1.0, 1.0]], 0.125, 0.0, 3) [0.7953536964824289 0.0057975304657083507] 1
2021-12-06 13:38:57.942020 (1.0, 500000.0, 9, 10.0, [[0.0, 0.3], [1.0, 1.0]], 0.11, 0.0, 3) [0.6250183834639161 0.033251301521759979] 1
2021-12-06 13:39:01.039999 (1.0, 500000.0, 9, 10.0, [[0.0, 0.3], [1.0, 1.0]], 0.13, 0.0, 3) [0.5640395693686391 0.060656930049020251] 1
2021-12-06 13:39:10.872299 (1.0, 500000.0, 9, 10.0, [[0.0, 0.3], [1.0, 1.0]], 0.145, 0.0, 3) [0.5201700340258535 0.094263777621823697] 1
2021-12-06 13:39:10.993511 (1.0, 500000.0, 9, 10.0, [[0.0, 0.3], [1.0, 1.0]], 0.15, 0.0, 3) [0.5109329102479211 0.10503013590914781] 1
2021-12-06 14:06:39.660126 (1.0, 500000.0, 10, 10.0, [[0.0, 0.3], [1.0, 1.0]], 0.13, 0.0, 3) [0.5144401947812375 0.10117822248414786] 1
2021-12-06 14:06:46.210742 (1.0, 500000.0, 10, 10.0, [[0.0, 0.3], [1.0, 1.0]], 0.11, 0.0, 3) [0.5726724000142173 0.056405260756439472] 1
2021-12-06 14:07:13.887392 (1.0, 500000.0, 10, 10.0, [[0.0, 0.3], [1.0, 1.0]], 0.115, 0.0, 3) [0.559424367635059 0.065055195821749803] 1
2021-12-06 14:07:18.520935 (1.0, 500000.0, 10, 10.0, [[0.0, 0.3], [1.0, 1.0]], 0.125, 0.0, 3) [0.5255894888104566 0.090450489372523868] 1
2021-12-06 14:07:28.576574 (1.0, 500000.0, 7, 10.0, [[0.0, 0.3], [1.0, 1.0]], 0.105, 0.0, 3) [0.7732914510316818 0.0074017517800740633] 1
2021-12-06 14:07:32.336487 (1.0, 500000.0, 7, 10.0, [[0.0, 0.3], [1.0, 1.0]], 0.12, 0.0, 3) [0.7240437495341154 0.012066263107228465] 1
2021-12-06 14:09:39.048239 (1.0, 500000.0, 10, 10.0, [[0.0, 0.3], [1.0, 1.0]], 0.105, 0.0, 3) [0.5886772759624904 0.047699344001696641] 1
2021-12-06 14:10:32.671143 (1.0, 500000.0, 8, 10.0, [[0.0, 0.3], [1.0, 1.0]], 0.105, 0.0, 3) [0.7024811257877681 0.015251948818416987] 1
2021-12-06 14:10:50.332007 (1.0, 500000.0, 8, 10.0, [[0.0, 0.3], [1.0, 1.0]], 0.15, 0.0, 3) [0.5679073416069284 0.058308311190479592] 1
2021-12-06 14:11:09.908741 (1.0, 500000.0, 8, 10.0, [[0.0, 0.3], [1.0, 1.0]], 0.12, 0.0, 3) [0.6557445109876494 0.024287062299230052] 1
2021-12-06 14:11:19.049015 (1.0, 500000.0, 8, 10.0, [[0.0, 0.3], [1.0, 1.0]], 0.145, 0.0, 3) [0.5811219929672943 0.050473001691480224] 1
2021-12-06 14:13:18.509166 (1.0, 500000.0, 8, 10.0, [[0.0, 0.3], [1.0, 1.0]], 0.13, 0.0, 3) [0.6250968915079939 0.033312532073568941] 1
2021-12-06 14:13:20.113205 (1.0, 500000.0, 8, 10.0, [[0.0, 0.3], [1.0, 1.0]], 0.11, 0.0, 3) [0.684009167653775 0.018294967098435463] 1
2021-12-06 14:44:51.591205 (1.0, 500000.0, 11, 10.0, [[0.0, 0.3], [1.0, 1.0]], 0.115, 0.0, 3) [0.5118931894333035 0.10322061117213317] 1
2021-12-06 14:46:59.282844 (1.0, 500000.0, 11, 10.0, [[0.0, 0.3], [1.0, 1.0]], 0.135, 0.0, 3) [0.45350247130870147 0.18713642230782132] 1
2021-12-06 14:47:18.184304 (1.0, 500000.0, 11, 10.0, [[0.0, 0.3], [1.0, 1.0]], 0.145, 0.0, 3) [0.4299752508339932 0.23671526047072164] 1
2021-12-06 14:47:57.008082 (1.0, 500000.0, 6, 10.0, [[0.0, 0.3], [1.0, 1.0]], 0.105, 0.0, 3) [0.8616509973115528 0.0030125891628484743] 1
2021-12-06 14:48:06.420727 (1.0, 500000.0, 6, 10.0, [[0.0, 0.3], [1.0, 1.0]], 0.14, 0.0, 3) [0.7497688058567458 0.0092127854107254357] 1
2021-12-06 14:48:15.687759 (1.0, 500000.0, 6, 10.0, [[0.0, 0.3], [1.0, 1.0]], 0.15, 0.0, 3) [0.7206331956031785 0.012287333596997954] 1
2021-12-06 14:48:16.873250 (1.0, 500000.0, 6, 10.0, [[0.0, 0.3], [1.0, 1.0]], 0.13, 0.0, 3) [0.7826001876264743 0.0066522042865604881] 1
