2022-02-01 16:42:28.296518 (1.0, 500000.0, 7, 10.0, [[0.25, 0.03], [0.25, 0.03]], 0.99, 0.0, 3) [1.3220647589448355 3.8754043656606614e-08] 1
2022-02-01 17:41:55.550791 (1.0, 500000.0, 7, 10.0, [[0.44, 0.03], [0.44, 0.03]], 0.99, 0.0, 3) [0.5858578999458514 0.001156390514317853] 1
2022-02-01 17:41:58.826939 (1.0, 500000.0, 7, 10.0, [[0.31, 0.03], [0.31, 0.03]], 0.99, 0.0, 3) [1.0234985427517382 2.5195209080271104e-06] 1
2022-02-01 17:42:09.489992 (1.0, 500000.0, 7, 10.0, [[0.37, 0.03], [0.37, 0.03]], 0.99, 0.0, 3) [0.7911227592567431 6.5028882601061912e-05] 1
2022-02-01 17:42:33.220441 (1.0, 500000.0, 7, 10.0, [[0.36, 0.03], [0.36, 0.03]], 0.99, 0.0, 3) [0.8216138071231948 4.2371716733143313e-05] 1
2022-02-01 17:43:49.474090 (1.0, 500000.0, 7, 10.0, [[0.3, 0.03], [0.3, 0.03]], 0.99, 0.0, 3) [1.0640445658107955 1.4252529597398304e-06] 1
2022-02-01 17:44:06.401990 (1.0, 500000.0, 7, 10.0, [[0.39, 0.03], [0.39, 0.03]], 0.99, 0.0, 3) [0.723293627063115 0.00016794279548375737] 1
2022-02-01 17:44:41.608879 (1.0, 500000.0, 7, 10.0, [[0.27, 0.03], [0.27, 0.03]], 0.99, 0.0, 3) [1.209539762243407 1.8622362537691701e-07] 1
2022-02-01 17:45:42.000445 (1.0, 500000.0, 7, 10.0, [[0.35, 0.03], [0.35, 0.03]], 0.99, 0.0, 3) [0.86016902949403 2.4690437462656272e-05] 1
2022-02-01 17:47:08.376114 (1.0, 500000.0, 7, 10.0, [[0.45, 0.03], [0.45, 0.03]], 0.99, 0.0, 3) [0.5607345209176013 0.0016436748926952648] 1
2022-02-01 17:47:11.991474 (1.0, 500000.0, 7, 10.0, [[0.38, 0.03], [0.38, 0.03]], 0.99, 0.0, 3) [0.7568762948690613 0.00010525080189721369] 1
2022-02-01 17:48:13.822070 (1.0, 500000.0, 7, 10.0, [[0.42, 0.03], [0.42, 0.03]], 0.99, 0.0, 3) [0.6372073036887622 0.00056207890033934088] 1
2022-02-01 17:48:18.238881 (1.0, 500000.0, 7, 10.0, [[0.26, 0.03], [0.26, 0.03]], 0.99, 0.0, 3) [1.267764389545673 8.2824388756372422e-08] 1
2022-02-01 17:49:59.128593 (1.0, 500000.0, 7, 10.0, [[0.4, 0.03], [0.4, 0.03]], 0.99, 0.0, 3) [0.6956128569132737 0.0002481778476468617] 1
2022-02-01 17:50:50.813333 (1.0, 500000.0, 7, 10.0, [[0.28, 0.03], [0.28, 0.03]], 0.99, 0.0, 3) [1.1587519143634 3.7919923805690123e-07] 1
2022-02-01 17:54:35.913435 (1.0, 500000.0, 7, 10.0, [[0.34, 0.03], [0.34, 0.03]], 0.99, 0.0, 3) [0.8957372260529252 1.5013647024908532e-05] 1
2022-02-01 17:55:01.030172 (1.0, 500000.0, 7, 10.0, [[0.43, 0.03], [0.43, 0.03]], 0.99, 0.0, 3) [0.6092658844809208 0.00083107642812293026] 1
2022-02-01 17:55:25.597188 (1.0, 500000.0, 7, 10.0, [[0.29, 0.03], [0.29, 0.03]], 0.99, 0.0, 3) [1.110670391131154 7.4261348595480285e-07] 1
2022-02-01 17:55:28.770910 (1.0, 500000.0, 7, 10.0, [[0.32, 0.03], [0.32, 0.03]], 0.99, 0.0, 3) [0.9752053885768223 4.9364520998403804e-06] 1
2022-02-01 17:59:31.245803 (1.0, 500000.0, 7, 10.0, [[0.33, 0.03], [0.33, 0.03]], 0.99, 0.0, 3) [0.9343656283122596 8.7439372130405217e-06] 1
2022-02-01 17:59:32.698574 (1.0, 500000.0, 7, 10.0, [[0.41, 0.03], [0.41, 0.03]], 0.99, 0.0, 3) [0.6638229117050697 0.00038693513242120164] 1
2022-02-01 19:13:00.209098 (1.0, 500000.0, 8, 10.0, [[0.3, 0.03], [0.3, 0.03]], 0.99, 0.0, 3) [1.0209011739948683 3.3678877321441303e-07] 1
2022-02-01 19:13:13.207943 (1.0, 500000.0, 8, 10.0, [[0.29, 0.03], [0.29, 0.03]], 0.99, 0.0, 3) [1.0686821426785995 1.5713487299233845e-07] 1
2022-02-01 19:13:37.259574 (1.0, 500000.0, 8, 10.0, [[0.34, 0.03], [0.34, 0.03]], 0.99, 0.0, 3) [0.8516612098274431 5.0452479755408226e-06] 1
2022-02-01 19:13:58.158984 (1.0, 500000.0, 8, 10.0, [[0.42, 0.03], [0.42, 0.03]], 0.99, 0.0, 3) [0.5927471963407858 0.00031905008872522636] 1
2022-02-01 19:14:31.739758 (1.0, 500000.0, 8, 10.0, [[0.31, 0.03], [0.31, 0.03]], 0.99, 0.0, 3) [0.9760119381294143 6.9039908663129785e-07] 1
2022-02-01 20:28:20.740080 (1.0, 500000.0, 8, 10.0, [[0.36, 0.03], [0.36, 0.03]], 0.99, 0.0, 3) [0.7810524627501558 1.5629566127416846e-05] 1
2022-02-01 20:28:31.873818 (1.0, 500000.0, 8, 10.0, [[0.4, 0.03], [0.4, 0.03]], 0.99, 0.0, 3) [0.6503024159673574 0.00012685264508539853] 1
2022-02-01 20:29:00.879187 (1.0, 500000.0, 8, 10.0, [[0.28, 0.03], [0.28, 0.03]], 0.99, 0.0, 3) [1.120856805849462 6.8401394973797071e-08] 1
2022-02-01 20:29:10.332585 (1.0, 500000.0, 9, 10.0, [[0.35, 0.03], [0.35, 0.03]], 0.99, 0.0, 3) [0.7809926427828493 3.2740127836107512e-06] 1
2022-02-01 20:29:24.430009 (1.0, 500000.0, 8, 10.0, [[0.43, 0.03], [0.43, 0.03]], 0.99, 0.0, 3) [0.5677293337803329 0.00047694841577142991] 1
2022-02-01 20:29:26.094016 (1.0, 500000.0, 8, 10.0, [[0.26, 0.03], [0.26, 0.03]], 0.99, 0.0, 3) [1.2251680485839713 1.2887296621750527e-08] 1
2022-02-01 20:29:26.519579 (1.0, 500000.0, 8, 10.0, [[0.32, 0.03], [0.32, 0.03]], 0.99, 0.0, 3) [0.9362471747625846 1.3071456145521336e-06] 1
2022-02-01 20:29:39.013551 (1.0, 500000.0, 8, 10.0, [[0.39, 0.03], [0.39, 0.03]], 0.99, 0.0, 3) [0.6797808755706408 7.9092087381363559e-05] 1
2022-02-01 20:29:49.835248 (1.0, 500000.0, 8, 10.0, [[0.41, 0.03], [0.41, 0.03]], 0.99, 0.0, 3) [0.6196864093639287 0.00020691894098929107] 1
2022-02-01 20:35:01.829984 (1.0, 500000.0, 8, 10.0, [[0.27, 0.03], [0.27, 0.03]], 0.99, 0.0, 3) [1.16934957283572 3.1437616535270139e-08] 1
2022-02-01 20:35:11.734914 (1.0, 500000.0, 8, 10.0, [[0.38, 0.03], [0.38, 0.03]], 0.99, 0.0, 3) [0.7119047148390328 4.7230642620406825e-05] 1
2022-02-01 22:04:01.323665 (1.0, 500000.0, 9, 10.0, [[0.32, 0.03], [0.32, 0.03]], 0.99, 0.0, 3) [0.9005497646558923 3.8018464277194349e-07] 1
2022-02-01 22:04:10.264630 (1.0, 500000.0, 9, 10.0, [[0.36, 0.03], [0.36, 0.03]], 0.99, 0.0, 3) [0.7470804274459981 6.0310893162998992e-06] 1
2022-02-01 22:04:12.814385 (1.0, 500000.0, 9, 10.0, [[0.26, 0.03], [0.26, 0.03]], 0.99, 0.0, 3) [1.1901476413523222 2.0811133374521783e-09] 1
2022-02-01 22:04:36.560910 (1.0, 500000.0, 9, 10.0, [[0.37, 0.03], [0.37, 0.03]], 0.99, 0.0, 3) [0.7110986130632213 1.1521079786919989e-05] 1
2022-02-01 22:04:40.025678 (1.0, 500000.0, 9, 10.0, [[0.38, 0.03], [0.38, 0.03]], 0.99, 0.0, 3) [0.6772782108711493 2.1168922512997946e-05] 1
2022-02-01 22:04:48.165911 (1.0, 500000.0, 9, 10.0, [[0.31, 0.03], [0.31, 0.03]], 0.99, 0.0, 3) [0.9442825478948946 1.7318136631205993e-07] 1
2022-02-01 22:07:03.891941 (1.0, 500000.0, 9, 10.0, [[0.34, 0.03], [0.34, 0.03]], 0.99, 0.0, 3) [0.8181379124592384 1.6766468818161752e-06] 1
2022-02-01 22:07:05.151530 (1.0, 500000.0, 9, 10.0, [[0.44, 0.03], [0.44, 0.03]], 0.99, 0.0, 3) [0.5057126490840305 0.00046560770501597961] 1
2022-02-01 22:07:17.978844 (1.0, 500000.0, 9, 10.0, [[0.28, 0.03], [0.28, 0.03]], 0.99, 0.0, 3) [1.0859997280174467 1.3551820265825801e-08] 1
2022-02-01 22:07:23.821166 (1.0, 500000.0, 9, 10.0, [[0.29, 0.03], [0.29, 0.03]], 0.99, 0.0, 3) [1.0343294354180952 3.4319729829834111e-08] 1
2022-02-01 22:07:32.493836 (1.0, 500000.0, 9, 10.0, [[0.4, 0.03], [0.4, 0.03]], 0.99, 0.0, 3) [0.6147195932530599 6.5271354402641354e-05] 1
2022-02-01 22:07:38.445677 (1.0, 500000.0, 9, 10.0, [[0.33, 0.03], [0.33, 0.03]], 0.99, 0.0, 3) [0.8586567289434566 8.0940015067393334e-07] 1
2022-02-01 22:09:15.525635 (1.0, 500000.0, 9, 10.0, [[0.39, 0.03], [0.39, 0.03]], 0.99, 0.0, 3) [0.645681101988628 3.7383937419272745e-05] 1
2022-02-01 22:09:17.468178 (1.0, 500000.0, 9, 10.0, [[0.43, 0.03], [0.43, 0.03]], 0.99, 0.0, 3) [0.5284433717502217 0.00030865805295661301] 1
2022-02-01 22:10:15.263753 (1.0, 500000.0, 9, 10.0, [[0.3, 0.03], [0.3, 0.03]], 0.99, 0.0, 3) [0.9874094229676226 7.9736905321392643e-08] 1
2022-02-01 22:10:31.715595 (1.0, 500000.0, 9, 10.0, [[0.41, 0.03], [0.41, 0.03]], 0.99, 0.0, 3) [0.5870025068250471 0.00010761297928322866] 1
2022-02-01 22:10:40.465075 (1.0, 500000.0, 9, 10.0, [[0.25, 0.03], [0.25, 0.03]], 0.99, 0.0, 3) [1.2508918160951141 6.9932794453968614e-10] 1
2022-02-01 22:10:55.736823 (1.0, 500000.0, 9, 10.0, [[0.45, 0.03], [0.45, 0.03]], 0.99, 0.0, 3) [0.48455884786071785 0.00068380054202604582] 1
2022-02-01 22:16:08.072511 (1.0, 500000.0, 9, 10.0, [[0.42, 0.03], [0.42, 0.03]], 0.99, 0.0, 3) [0.5597497024141058 0.00017598522946773448] 1
2022-02-01 22:16:28.291300 (1.0, 500000.0, 9, 10.0, [[0.27, 0.03], [0.27, 0.03]], 0.99, 0.0, 3) [1.1385374165410025 5.2726582172104262e-09] 1
2022-02-02 00:26:03.182501 (1.0, 500000.0, 10, 10.0, [[0.43, 0.03], [0.43, 0.03]], 0.99, 0.0, 3) [0.5037182487614491 0.00017585051054801922] 1
2022-02-02 00:26:09.282696 (1.0, 500000.0, 10, 10.0, [[0.28, 0.03], [0.28, 0.03]], 0.99, 0.0, 3) [1.0593230082001956 2.626677018522324e-09] 1
2022-02-02 00:26:25.798385 (1.0, 500000.0, 10, 10.0, [[0.41, 0.03], [0.41, 0.03]], 0.99, 0.0, 3) [0.5597011104911565 5.7322643317401985e-05] 1
2022-02-02 00:26:26.745759 (1.0, 500000.0, 10, 10.0, [[0.37, 0.03], [0.37, 0.03]], 0.99, 0.0, 3) [0.6826766187442496 4.8968603814002187e-06] 1
2022-02-02 00:26:53.668146 (1.0, 500000.0, 10, 10.0, [[0.44, 0.03], [0.44, 0.03]], 0.99, 0.0, 3) [0.4809370507178657 0.00027768945851682836] 1
2022-02-02 00:27:05.205968 (1.0, 500000.0, 10, 10.0, [[0.26, 0.03], [0.26, 0.03]], 0.99, 0.0, 3) [1.1678958030359576 3.0044116770215811e-10] 1
2022-02-02 00:27:28.600595 (1.0, 500000.0, 10, 10.0, [[0.39, 0.03], [0.39, 0.03]], 0.99, 0.0, 3) [0.6179132240482006 1.7884658958523917e-05] 1
2022-02-02 01:32:36.487896 (1.0, 500000.0, 8, 10.0, [[0.45, 0.03], [0.45, 0.03]], 0.99, 0.0, 3) [0.5164352235649439 0.0010836350576319659] 1
2022-02-02 01:32:52.927535 (1.0, 500000.0, 8, 10.0, [[0.33, 0.03], [0.33, 0.03]], 0.99, 0.0, 3) [0.8922591615097157 2.6384828974550214e-06] 1
2022-02-02 01:33:45.142125 (1.0, 500000.0, 8, 10.0, [[0.37, 0.03], [0.37, 0.03]], 0.99, 0.0, 3) [0.7426937602412909 2.8836279916185584e-05] 1
2022-02-02 01:34:03.549959 (1.0, 500000.0, 8, 10.0, [[0.35, 0.03], [0.35, 0.03]], 0.99, 0.0, 3) [0.8145888459247429 9.1265419577619513e-06] 1
