2021-12-29 15:22:20.206656 (1.0, 500000.0, 6, 10.0, [[0.5, 0.1], [0.5, 0.1]], 0.99, 0.0, 3) [0.24912986483076627 1.3237737786535224] 1
2021-12-29 15:22:48.870467 (1.0, 500000.0, 6, 10.0, [[0.5, 0.01], [0.5, 0.01]], 0.99, 0.0, 3) [0.25210591017111245 1.2983765835784018] 1
2021-12-29 15:23:25.902452 (1.0, 500000.0, 6, 10.0, [[0.5, 0.06], [0.5, 0.06]], 0.99, 0.0, 3) [0.24889678412251395 1.3262175533729692] 1
2021-12-29 15:25:16.351775 (1.0, 500000.0, 6, 10.0, [[0.5, 0.08], [0.5, 0.08]], 0.99, 0.0, 3) [0.2485652256807442 1.3326493013351104] 1
2021-12-29 15:34:37.923055 (1.0, 500000.0, 7, 10.0, [[0.5, 0.02], [0.5, 0.02]], 0.99, 0.0, 3) [0.2005417888754728 2.1227747915260986] 1
2021-12-29 15:35:24.099835 (1.0, 500000.0, 7, 10.0, [[0.5, 0.03], [0.5, 0.03]], 0.99, 0.0, 3) [0.1985941142459282 2.1464831339053578] 1
2021-12-29 15:51:15.070414 (1.0, 500000.0, 8, 10.0, [[0.5, 0.08], [0.5, 0.08]], 0.99, 0.0, 3) [0.16169036094269787 3.04274983844947] 1
2021-12-29 15:51:20.649167 (1.0, 500000.0, 8, 10.0, [[0.5, 0.07], [0.5, 0.07]], 0.99, 0.0, 3) [0.1637311021636683 3.0134818805710628] 1
2021-12-29 15:51:27.993457 (1.0, 500000.0, 8, 10.0, [[0.5, 0.01], [0.5, 0.01]], 0.99, 0.0, 3) [0.16270390569059637 3.0306349132070136] 1
2021-12-29 15:51:35.024441 (1.0, 500000.0, 8, 10.0, [[0.5, 0.1], [0.5, 0.1]], 0.99, 0.0, 3) [0.16072466488323725 3.0599774695293829] 1
2021-12-29 16:00:02.493949 (1.0, 500000.0, 6, 10.0, [[0.5, 0.02], [0.5, 0.02]], 0.99, 0.0, 3) [0.2504154888998084 1.3145017253646827] 1
2021-12-29 16:00:03.038023 (1.0, 500000.0, 6, 10.0, [[0.5, 0.04], [0.5, 0.04]], 0.99, 0.0, 3) [0.2497710128115345 1.3167562930741046] 1
2021-12-29 16:12:13.639170 (1.0, 500000.0, 9, 10.0, [[0.5, 0.05], [0.5, 0.05]], 0.99, 0.0, 3) [0.13377042446109086 4.0340300422467381] 1
2021-12-29 16:12:52.442264 (1.0, 500000.0, 9, 10.0, [[0.5, 0.1], [0.5, 0.1]], 0.99, 0.0, 3) [0.1340679764488709 4.0209120138138346] 1
2021-12-29 16:13:38.553336 (1.0, 500000.0, 9, 10.0, [[0.5, 0.09], [0.5, 0.09]], 0.99, 0.0, 3) [0.13236471190317584 4.0631560883230859] 1
2021-12-29 16:19:17.507099 (1.0, 500000.0, 7, 10.0, [[0.5, 0.05], [0.5, 0.05]], 0.99, 0.0, 3) [0.2007952937493529 2.1301672641344322] 1
2021-12-29 16:19:31.030261 (1.0, 500000.0, 7, 10.0, [[0.5, 0.01], [0.5, 0.01]], 0.99, 0.0, 3) [0.20005062122914288 2.1185446264746646] 1
2021-12-29 16:25:26.334023 (1.0, 500000.0, 7, 10.0, [[0.5, 0.09], [0.5, 0.09]], 0.99, 0.0, 3) [0.20115427033358785 2.1190167024111006] 1
2021-12-29 16:25:30.384592 (1.0, 500000.0, 7, 10.0, [[0.5, 0.07], [0.5, 0.07]], 0.99, 0.0, 3) [0.19902530465023746 2.1288519569771975] 1
2021-12-29 16:26:01.825606 (1.0, 500000.0, 7, 10.0, [[0.5, 0.04], [0.5, 0.04]], 0.99, 0.0, 3) [0.20105884325416892 2.1038399382276709] 1
2021-12-29 16:26:33.410956 (1.0, 500000.0, 7, 10.0, [[0.5, 0.06], [0.5, 0.06]], 0.99, 0.0, 3) [0.2010598001220529 2.1027118661263553] 1
2021-12-29 16:27:04.012734 (1.0, 500000.0, 7, 10.0, [[0.5, 0.1], [0.5, 0.1]], 0.99, 0.0, 3) [0.19937258367028182 2.1390110977856986] 1
2021-12-29 16:27:10.034755 (1.0, 500000.0, 7, 10.0, [[0.5, 0.08], [0.5, 0.08]], 0.99, 0.0, 3) [0.19973670797248655 2.127596267781783] 1
2021-12-29 16:42:28.877863 (1.0, 500000.0, 10, 10.0, [[0.5, 0.1], [0.5, 0.1]], 0.99, 0.0, 3) [0.1104858970629084 5.1435515200759303] 1
2021-12-29 16:44:11.092050 (1.0, 500000.0, 10, 10.0, [[0.5, 0.04], [0.5, 0.04]], 0.99, 0.0, 3) [0.11157628051790548 5.0907369821913271] 1
2021-12-29 16:45:01.252391 (1.0, 500000.0, 10, 10.0, [[0.5, 0.02], [0.5, 0.02]], 0.99, 0.0, 3) [0.11146885181544336 5.1050592917763353] 1
2021-12-29 16:49:48.422147 (1.0, 500000.0, 8, 10.0, [[0.5, 0.02], [0.5, 0.02]], 0.99, 0.0, 3) [0.16438376616252157 3.0161587787393698] 1
2021-12-29 16:50:01.716447 (1.0, 500000.0, 8, 10.0, [[0.5, 0.03], [0.5, 0.03]], 0.99, 0.0, 3) [0.16203883451934806 3.0438973268310576] 1
2021-12-29 17:25:36.456022 (1.0, 500000.0, 11, 10.0, [[0.5, 0.01], [0.5, 0.01]], 0.99, 0.0, 3) [0.0939386508463208 6.2282054899055268] 1
2021-12-29 17:25:40.559664 (1.0, 500000.0, 11, 10.0, [[0.5, 0.1], [0.5, 0.1]], 0.99, 0.0, 3) [0.09182884904350697 6.2908118440118823] 1
2021-12-29 17:26:39.487290 (1.0, 500000.0, 6, 10.0, [[0.5, 0.05], [0.5, 0.05]], 0.99, 0.0, 3) [0.2505137912549276 1.3115720382412561] 1
2021-12-29 17:26:50.271633 (1.0, 500000.0, 6, 10.0, [[0.5, 0.07], [0.5, 0.07]], 0.99, 0.0, 3) [0.2491206240377124 1.3293110485866473] 1
2021-12-29 17:26:50.820534 (1.0, 500000.0, 11, 10.0, [[0.5, 0.09], [0.5, 0.09]], 0.99, 0.0, 3) [0.09367766595287486 6.24969282332638] 1
2021-12-29 17:26:54.663758 (1.0, 500000.0, 6, 10.0, [[0.5, 0.03], [0.5, 0.03]], 0.99, 0.0, 3) [0.25301742005710015 1.2938546867477732] 1
2021-12-29 17:27:04.149630 (1.0, 500000.0, 6, 10.0, [[0.5, 0.09], [0.5, 0.09]], 0.99, 0.0, 3) [0.24971329161783568 1.3235195335915673] 1
2021-12-29 17:27:39.338802 (1.0, 500000.0, 11, 10.0, [[0.5, 0.04], [0.5, 0.04]], 0.99, 0.0, 3) [0.09507259175343642 6.2079295021886809] 1
