2021-12-14 13:46:04.034419 (1.0, 500000.0, 8, 10.0, [[0.0, 0.6], [0.4, 1.0]], 0.2, 0.0, 3) [0.2899084794339482 0.90880276998087572] 1
2021-12-14 13:46:11.877240 (1.0, 500000.0, 8, 10.0, [[0.0, 0.6], [0.4, 1.0]], 0.1, 0.0, 3) [0.3625639041785079 0.44991913981517628] 1
2021-12-14 13:46:15.086609 (1.0, 500000.0, 8, 10.0, [[0.0, 0.6], [0.4, 1.0]], 0.0, 0.0, 3) [0.45805115071508307 0.17768169299172595] 1
2021-12-14 13:46:43.376943 (1.0, 500000.0, 8, 10.0, [[0.0, 0.6], [0.4, 1.0]], 0.3, 0.0, 3) [0.230183655104104 1.5938073726674205] 1
2021-12-14 13:46:53.448101 (1.0, 500000.0, 8, 10.0, [[0.0, 0.6], [0.4, 1.0]], 0.5, 0.0, 3) [0.14702280065966633 3.3354940100945902] 1
2021-12-14 13:47:01.406420 (1.0, 500000.0, 8, 10.0, [[0.0, 0.6], [0.4, 1.0]], 0.6, 0.0, 3) [0.11969304704061338 4.2790917580079988] 1
2021-12-14 13:47:03.600601 (1.0, 500000.0, 8, 10.0, [[0.0, 0.6], [0.4, 1.0]], 0.7, 0.0, 3) [0.0986583373672809 5.2392864467502136] 1
2021-12-14 13:47:05.573404 (1.0, 500000.0, 8, 10.0, [[0.0, 0.6], [0.4, 1.0]], 0.4, 0.0, 3) [0.1815497480226478 2.4497618767646379] 1
2021-12-14 13:47:10.551361 (1.0, 500000.0, 8, 10.0, [[0.0, 0.6], [0.4, 1.0]], 0.8, 0.0, 3) [0.08392367393891158 6.21578681439596] 1
2021-12-14 13:47:40.665810 (1.0, 500000.0, 8, 10.0, [[0.0, 0.6], [0.4, 1.0]], 0.9, 0.0, 3) [0.07177952377108582 7.2440109468036056] 1
2021-12-14 13:54:34.597315 (1.0, 500000.0, 8, 10.0, [[0.0, 0.6], [0.4, 1.0]], 1.0, 0.0, 3) [0.06231916587262439 8.3612984494689435] 1
2021-12-14 13:59:21.245813 (1.0, 500000.0, 9, 10.0, [[0.0, 0.6], [0.4, 1.0]], 0.0, 0.0, 3) [0.40832786402197935 0.29716138501823092] 1
2021-12-14 13:59:37.486499 (1.0, 500000.0, 9, 10.0, [[0.0, 0.6], [0.4, 1.0]], 0.2, 0.0, 3) [0.24469666559893427 1.3924963282548151] 1
2021-12-14 13:59:50.019861 (1.0, 500000.0, 9, 10.0, [[0.0, 0.6], [0.4, 1.0]], 0.1, 0.0, 3) [0.3159911592158317 0.71764557102611271] 1
2021-12-14 14:00:00.219523 (1.0, 500000.0, 9, 10.0, [[0.0, 0.6], [0.4, 1.0]], 0.6, 0.0, 3) [0.09557106703478838 5.5544674683425157] 1
2021-12-14 14:00:08.522835 (1.0, 500000.0, 9, 10.0, [[0.0, 0.6], [0.4, 1.0]], 0.5, 0.0, 3) [0.11962862117797438 4.404577637613678] 1
2021-12-14 14:00:18.828781 (1.0, 500000.0, 9, 10.0, [[0.0, 0.6], [0.4, 1.0]], 0.4, 0.0, 3) [0.14962435728009316 3.3204739777068148] 1
2021-12-14 14:00:48.904927 (1.0, 500000.0, 9, 10.0, [[0.0, 0.6], [0.4, 1.0]], 0.7, 0.0, 3) [0.07974876861004618 6.7115875331393715] 1
2021-12-14 14:00:57.700877 (1.0, 500000.0, 9, 10.0, [[0.0, 0.6], [0.4, 1.0]], 0.8, 0.0, 3) [0.06606392115378898 7.9692950244781011] 1
2021-12-14 14:00:58.985922 (1.0, 500000.0, 9, 10.0, [[0.0, 0.6], [0.4, 1.0]], 0.3, 0.0, 3) [0.191051748302802 2.2933690036365246] 1
2021-12-14 14:01:05.342256 (1.0, 500000.0, 9, 10.0, [[0.0, 0.6], [0.4, 1.0]], 0.9, 0.0, 3) [0.055984444620490875 9.2256485101478631] 1
2021-12-14 14:11:44.131764 (1.0, 500000.0, 10, 10.0, [[0.0, 0.6], [0.4, 1.0]], 0.0, 0.0, 3) [0.36371706747751587 0.46141605671368163] 1
2021-12-14 14:12:09.650972 (1.0, 500000.0, 10, 10.0, [[0.0, 0.6], [0.4, 1.0]], 0.1, 0.0, 3) [0.2802920651810889 1.0334818103354102] 1
2021-12-14 14:13:09.775430 (1.0, 500000.0, 10, 10.0, [[0.0, 0.6], [0.4, 1.0]], 0.4, 0.0, 3) [0.12270098635012532 4.2743224654865797] 1
2021-12-14 14:13:18.725927 (1.0, 500000.0, 10, 10.0, [[0.0, 0.6], [0.4, 1.0]], 0.2, 0.0, 3) [0.21250524543277985 1.9248985203460889] 1
2021-12-14 14:13:23.455190 (1.0, 500000.0, 10, 10.0, [[0.0, 0.6], [0.4, 1.0]], 0.3, 0.0, 3) [0.16124500661246974 3.0352108591462477] 1
2021-12-14 14:13:33.673617 (1.0, 500000.0, 10, 10.0, [[0.0, 0.6], [0.4, 1.0]], 0.7, 0.0, 3) [0.06412585941698064 8.3390103501029369] 1
2021-12-14 14:13:43.231627 (1.0, 500000.0, 10, 10.0, [[0.0, 0.6], [0.4, 1.0]], 0.6, 0.0, 3) [0.07730039494913936 6.9015449310388446] 1
