,date,time,eps,Lz,L,W,tLow,c,E,dim,lyap,std,g,reals,runtime,fname
0,2022-05-17,20:12:44.002730,1.0,100000.0,28.0,10.0,0.3,0.302,2.0,3.0,0.1044434010550647,0.00549628591623666,0.011654817899442144,1.0,16511.041810035706,LZTEST.txt
1,2022-05-17,21:03:14.371979,1.0,75000.0,28.0,10.0,0.3,0.28,2.0,3.0,0.13632687211135006,0.0024487010585730394,0.0019592954730623426,1.0,19537.63295316696,LZTEST.txt
2,2022-05-17,21:21:11.632348,1.0,125000.0,28.0,10.0,0.3,0.267,2.0,3.0,0.15748244983409998,0.003028344077595962,0.0005996088480648208,1.0,20618.676692724228,LZTEST.txt
3,2022-05-17,23:55:03.418782,1.0,175000.0,28.0,10.0,0.3,0.267,2.0,3.0,0.15571057173991826,0.00303993636331297,0.0006610637975757177,1.0,29850.447608232498,LZTEST.txt
4,2022-05-18,00:47:22.732248,1.0,100000.0,28.0,10.0,0.3,0.292,2.0,3.0,0.12087205836112203,0.003550598073079994,0.004666731670559848,1.0,16474.535750865936,LZTEST.txt
5,2022-05-18,00:56:57.195030,1.0,200000.0,28.0,10.0,0.3,0.288,2.0,3.0,0.12630717843310238,0.002661156167131418,0.0034310458917717083,1.0,33564.2394092083,LZTEST.txt
6,2022-05-18,01:06:14.398471,1.0,75000.0,28.0,10.0,0.3,0.294,2.0,3.0,0.11633580759998131,0.0032105636334782786,0.0059929719756806,1.0,14557.46992611885,LZTEST.txt
7,2022-05-18,03:08:17.464210,1.0,125000.0,28.0,10.0,0.3,0.3,2.0,3.0,0.10813375961048591,0.0034105881307658534,0.009476782418187713,1.0,20821.37248969078,LZTEST.txt
8,2022-05-18,04:51:41.020440,1.0,75000.0,28.0,10.0,0.3,0.302,2.0,3.0,0.10593938896859478,0.004735073972690343,0.010717376854373564,1.0,13470.738848209381,LZTEST.txt
9,2022-05-18,05:25:32.686690,1.0,100000.0,28.0,10.0,0.3,0.297,2.0,3.0,0.11246028809351244,0.0023876354360874534,0.007449050908433159,1.0,16682.24956059456,LZTEST.txt
10,2022-05-18,07:58:54.865524,1.0,175000.0,28.0,10.0,0.3,0.28,2.0,3.0,0.13545997931187703,0.002613190930708367,0.00205567005890597,1.0,29024.223597049713,LZTEST.txt
11,2022-05-18,08:33:27.316345,1.0,75000.0,28.0,10.0,0.3,0.292,2.0,3.0,0.12113870399610548,0.005467381536798954,0.0046016962065884,1.0,13277.817780017853,LZTEST.txt
12,2022-05-18,08:55:33.762143,1.0,125000.0,28.0,10.0,0.3,0.28,2.0,3.0,0.13460971467195568,0.002829413740433779,0.002155354024441073,1.0,20832.488587379456,LZTEST.txt
13,2022-05-18,09:59:46.208960,1.0,100000.0,28.0,10.0,0.3,0.314,2.0,3.0,0.09129896011096662,0.0027597182839580554,0.02413620718521105,1.0,16448.12220454216,LZTEST.txt
14,2022-05-18,10:14:03.435584,1.0,200000.0,28.0,10.0,0.3,0.267,2.0,3.0,0.15385191169066703,0.00352999743195052,0.0007342935164102765,1.0,33422.093660354614,LZTEST.txt
15,2022-05-18,12:18:40.233601,1.0,75000.0,28.0,10.0,0.3,0.288,2.0,3.0,0.12366469564692724,0.004357019726190992,0.00397612436201671,1.0,13479.249618053436,LZTEST.txt
16,2022-05-18,14:34:39.676330,1.0,100000.0,28.0,10.0,0.3,0.306,2.0,3.0,0.099270597717343,0.0021153937109043364,0.015532304132743265,1.0,16480.687782764435,LZTEST.txt
